Time,Area,Industry,Direction,Trade value
201512,MK01 Uusimaa,Q Human health and social work activities (86-88),Exports by countries of destination,2232764430.609791
201512,MK01 Uusimaa,"R, S Other service activities (90-96)",Imports by countries of origin,1916866308.609946
201512,MK01 Uusimaa,"R, S Other service activities (90-96)",Exports by countries of destination,968454412.7146862
201512,MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,92628868.526072
201512,MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,46798692.25407569
201512,MK02 Southwest Finland,10-12 Food industry etc.,Imports by countries of origin,48250240.38347677
201512,MK02 Southwest Finland,10-12 Food industry etc.,Exports by countries of destination,65350879.35354607
201512,MK02 Southwest Finland,"13-15 Textile, clothing and leather industry",Imports by countries of origin,10855897.802681874
201512,MK02 Southwest Finland,"13-15 Textile, clothing and leather industry",Exports by countries of destination,14703397.577692414
201512,MK02 Southwest Finland,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,14301182.73407193
201512,MK02 Southwest Finland,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,19369745.311930127
201512,MK02 Southwest Finland,"17, 18 Paper industry; Printing",Imports by countries of origin,17210173.312934287
201512,MK02 Southwest Finland,"17, 18 Paper industry; Printing",Exports by countries of destination,23309727.596970454
201512,MK02 Southwest Finland,19-22 Chemical industry,Imports by countries of origin,76072541.33885308
201512,MK02 Southwest Finland,19-22 Chemical industry,Exports by countries of destination,103033838.4149374
201512,MK02 Southwest Finland,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,31998896.367485944
201512,MK02 Southwest Finland,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,43339805.13544366
201512,MK02 Southwest Finland,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,86554658.22916715
201512,MK02 Southwest Finland,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,117230981.28561345
