Time,Area,Industry,Direction,Trade value
201512,MK02 Southwest Finland,O Public administration and defence; compulsory social security (84),Imports by countries of origin,181673774.7547615
201512,MK02 Southwest Finland,O Public administration and defence; compulsory social security (84),Exports by countries of destination,246061798.6841669
201512,MK02 Southwest Finland,P Education (85),Imports by countries of origin,230086528.57839814
201512,MK02 Southwest Finland,P Education (85),Exports by countries of destination,311632788.77989393
201512,MK02 Southwest Finland,Q Human health and social work activities (86-88),Imports by countries of origin,582951961.197607
201512,MK02 Southwest Finland,Q Human health and social work activities (86-88),Exports by countries of destination,789559243.2775518
201512,MK02 Southwest Finland,"R, S Other service activities (90-96)",Imports by countries of origin,146310850.17596543
201512,MK02 Southwest Finland,"R, S Other service activities (90-96)",Exports by countries of destination,198165701.18557605
201512,MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,16738884.336470556
201512,MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,22671406.444645487
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,59419603.177724466
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,164819247.25685295
201512,MK04 Satakunta,B Mining and quarrying (05-09),Imports by countries of origin,3809405.356510796
201512,MK04 Satakunta,B Mining and quarrying (05-09),Exports by countries of destination,10566602.430487279
201512,MK04 Satakunta,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,23865153.183623705
201512,MK04 Satakunta,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,66197624.57230503
201512,MK04 Satakunta,F Construction (41-43),Imports by countries of origin,97038964.48656939
201512,MK04 Satakunta,F Construction (41-43),Exports by countries of destination,269168560.97848743
201512,MK04 Satakunta,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,118601860.22731741
201512,MK04 Satakunta,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,328980139.2220867
201512,MK04 Satakunta,H Transportation and storage (49-53),Imports by countries of origin,73850247.7681205
201512,MK04 Satakunta,H Transportation and storage (49-53),Exports by countries of destination,204847248.98729697
201512,MK04 Satakunta,I Accommodation and food service activities (55-56),Imports by countries of origin,32753765.682148896
201512,MK04 Satakunta,I Accommodation and food service activities (55-56),Exports by countries of destination,90853030.24344201
201512,MK04 Satakunta,J Information and communication (58-63),Imports by countries of origin,17658551.932984624
201512,MK04 Satakunta,J Information and communication (58-63),Exports by countries of destination,48981633.69646439
201512,MK04 Satakunta,K Financial and insurance activities (64-66),Imports by countries of origin,12128387.147520354
201512,MK04 Satakunta,K Financial and insurance activities (64-66),Exports by countries of destination,33641955.401738316
