Business_ID,business_line_code
1864131-6,66300
2309616-4,58141
2502267-9,41200
0190513-5,46331
1743766-3,64990
1095413-1,68209
1104728-5,96090
1925657-5,93110
1867108-0,74101
1866966-9,63110
1782704-7,69201
1793122-3,69201
1974797-2,66300
2305119-3,68202
2315599-6,47595
2317494-3,43210
1966959-9,46461
0723110-0,33200
0678891-9,47789
2316301-3,87202
2459002-5,96030
1979915-8,73111
0190439-4,68209
1073410-4,68201
0698020-6,68209
1991762-8,74909
1992284-9,41200
2002732-3,69201
2002411-4,62010
2001024-9,68201
2000010-4,46510
0190170-8,68209
0872739-4,68202
1723449-5,68209
1999207-0,32120
2361321-3,02200
1982433-3,71124
0190234-8,68201
2138024-1,41200
1988054-6,74901
0989376-5,35113
0190485-3,49391
0970821-6,45201
1741579-8,87901
1832759-7,88101
1973310-8,45201
1983682-8,66190
2022074-8,86909
1983535-8,56302
2079628-8,86909
2104842-5,25990
1983124-2,56102
2393854-4,77390
1997934-3,41200
0654217-7,46742
0609678-7,68209
0685751-5,41200
1970599-1,70220
2023063-9,45112
0773587-8,16100
1003246-0,23200
1968893-3,62010
0145513-8,68209
1968604-9,61200
1968303-2,70220
0399756-3,81300
1967458-2,78300
0859991-9,45112
0669565-9,68209
1901621-3,69201
1997812-1,66120
1993111-2,74909
1997606-2,47919
0232557-0,49410
1997453-4,71202
1996223-4,68202
1995967-6,69202
1995200-1,85520
2012259-0,96090
2036444-2,68209
1994523-1,66190
2289757-6,45322
1092634-1,41100
1993917-3,66220
0190244-4,43220
0993410-9,49410
2196628-5,43120
2288773-0,88101
1869308-7,49320
1916474-2,41200
2435834-9,45191
1097486-1,86220
1912931-4,47599
1912690-6,68209
2380796-6,43210
2388629-7,38320
1911710-2,70210
1911070-1,41200
1910315-7,69109
1869356-2,41200
2449941-6,14190
0125803-8,46360
0417767-1,35301
1908717-7,41200
1908716-9,41200
1908714-2,41200
0839583-6,43330
1582605-9,62010
1568035-2,74102
2439086-7,81300
1839277-8,70220
1845584-7,59200
0147726-5,45201
1844415-2,62010
2439145-6,75000
1843212-7,74901
2443144-6,46210
1840729-8,63120
2451108-3,45312
0145871-8,68209
0146757-7,68209
1839471-4,49410
1839349-8,93110
1908028-2,56102
1907385-9,62010
1906872-6,63110
2260261-9,35112
1923059-4,18120
1923043-9,70220
1923038-3,49320
1923012-1,70220
1922673-9,74909
1922621-0,66190
1904296-4,96021
1922617-3,46699
0621473-9,46493
2012858-9,10840
0982125-1,70220
1920420-6,41200
1919310-5,56101
1918282-8,63110
1027752-1,01491
1923581-1,59110
1924551-8,93190
1906827-5,74901
1924641-4,46699
1893736-0,64990
1993458-3,94999
2171120-7,93110
2180971-4,68202
2182430-8,68209
1913004-0,66120
2323222-6,74909
2151966-1,85510
1959047-7,36000
1925518-5,69202
1463428-2,46412
1933195-0,45201
1846765-3,64990
1846833-0,64300
1847712-2,52291
2144645-8,68209
1873682-5,46901
2181133-9,78300
1870295-9,66120
1870131-5,66220
1870023-2,74901
1874985-3,32501
1853077-1,46521
2402402-3,43220
2404604-6,95220
0492499-9,47740
1837259-0,70220
1873879-1,41200
1874404-0,62020
0530778-1,68201
2112047-4,41200
1709496-3,87301
1788334-8,41200
1793099-2,69201
1796493-0,81210
1829802-8,64990
1877203-3,79120
1975142-9,47783
1975280-0,68310
1977862-1,88101
1876098-0,41200
1875898-7,66120
1993624-7,46739
2047747-1,81100
1853288-1,41200
2080352-1,88999
0507062-2,71121
2417161-3,02200
0879467-7,68320
0898885-0,31010
0915666-9,28220
0916932-0,74909
0822673-3,68209
1633626-2,80100
0222167-5,68320
1839235-6,66120
1851813-1,59200
1851096-5,93299
1851042-0,47783
2410246-6,43220
1849681-7,62030
1848470-1,66300
1848456-8,70210
1848128-7,43120
0882059-9,81100
0870745-7,81100
0582719-7,68201
