Postal code area,WHOLE COUNTRY,Ahvenanmaa,Etelä-Karjala,Etelä-Pohjanmaa,Etelä-Savo,Kainuu,Kanta-Häme,Keski-Suomi,Kymenlaakso,Lapland,North Ostrobothnia,Pirkanmaa,Pohjanmaa,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Päijät-Häme,Satakunta,Uusimaa,Varsinais-Suomi
"Workplaces, total (TP)",1.0,0.00518745730819296,0.019127647966044173,0.03313958233987619,0.027951695428593524,0.0105712432283813,0.032513221035085686,0.04091926469135166,0.025578997564150482,0.026958453085194588,0.05136592302371839,0.0850949208026704,0.04073152814115039,0.022360411216077465,0.012217911871222177,0.033790001417690195,0.031224841369059127,0.01838357541467438,0.31746293599343567,0.08450980139449163
"A Agriculture, forestry and fishing (TP)",1.0,0.00569308417953494,0.017409721804963047,0.09275671453463918,0.06160247551523163,0.02021871056900799,0.055128282160668146,0.04411764705882353,0.0239890644715496,0.03157483626749985,0.04196959682749504,0.0589587213843658,0.06861743676019948,0.03310701195697891,0.03777864567686114,0.06508742414228204,0.033572673195938235,0.012077149552364358,0.056480201886679085,0.07159166015742355
B Mining and quarrying (TP),1.0,0.001707067258449983,0.02116763400477979,0.048822123591669514,0.011778764083304883,0.13571184704677364,0.03584841242744964,0.031068624103789688,0.016558552406964834,0.2560600887674974,0.0501877773984295,0.038579720040969614,0.019460566746329806,0.04131102765448959,0.08620689655172414,0.04284738818709457,0.010925230454079891,0.007681802663024923,0.05257767156025948,0.04301809491293957
C Manufacturing (TP),1.0,0.0022737714759057358,0.024723072743919,0.04834950349282152,0.036823024786792,0.007435031507497074,0.04718914223815576,0.04659219338459939,0.029448358893699508,0.02228161900577833,0.05467112477907862,0.11434253461800303,0.07111740105908117,0.027798365433307735,0.017536210984529635,0.029163299047900115,0.04667938816096156,0.025688922574392235,0.21166867326440475,0.11948702642337088
"D Electricity, gas, steam and air conditioning supply (TP)",1.0,0.008768196135183452,0.017536392270366904,0.024602026049204053,0.025964075934281093,0.009704605431173918,0.017195879799097643,0.034391759598195286,0.021367157572146078,0.045628671150080874,0.045628671150080874,0.06878351919639057,0.04911892398059079,0.016259470503107176,0.007150761896654465,0.028858431940069804,0.0237507448710309,0.03217842853494509,0.4092959904656508,0.10615476291819188
"E Water supply; sewerage, waste management and remediation activities (TP)",1.0,0.005450321658327376,0.016440314510364547,0.03270192994996426,0.035739814152966405,0.010989992852037169,0.07112223016440314,0.054056468906361684,0.04083273766976412,0.027698355968548964,0.05110793423874196,0.07550035739814152,0.049588992137240884,0.025464617583988564,0.01858470335954253,0.035293066476054326,0.04789135096497498,0.02466047176554682,0.25366333095067906,0.08845604002859185
F Construction (TP),1.0,0.005175222626440794,0.02064576979139872,0.03279070052303434,0.026549810752214017,0.009266404537047244,0.03502002719288575,0.04315339482355247,0.02651918813312265,0.026984651943311407,0.06220678842220018,0.08804002988767623,0.03752495743455946,0.02246475336542584,0.016738323595340464,0.0374943348154681,0.038094538149658866,0.020406913362486068,0.3299709697571014,0.09368684084812406
G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),1.0,0.0039039498336710895,0.020923029862730855,0.03450082208542041,0.026123198103468054,0.00966619508278209,0.0352426107903491,0.03972010859174856,0.024234313463082628,0.02552288456391236,0.04834244637326502,0.08848315680801437,0.03516996138110351,0.02019271211715673,0.01109241769586663,0.03295606622567201,0.03340725729361832,0.01851412839827171,0.3827859136619126,0.08515275494207165
H Transportation and storage (TP),1.0,0.01981425107862958,0.02085221419220908,0.03384999109210761,0.02471746489128498,0.009496587889913942,0.030069946320265842,0.033121867713924974,0.03870672894445348,0.028784111418368848,0.04701043385308949,0.0699463202658425,0.032471204269591554,0.018907969852593746,0.009938109512854476,0.032161364534194686,0.027343356648773423,0.018489686209807978,0.38214858364510956,0.09172030767085725
I Accommodation and food service activities (TP),1.0,0.006720141190845222,0.02295482571755043,0.024889411817945267,0.027333099523707164,0.011222862056091683,0.029923861026575103,0.042888981909922956,0.025941555135703863,0.039427090993426936,0.047289882454096,0.08423934563473656,0.03297847065877748,0.021947935875824463,0.008937561516443981,0.032967157289769324,0.03048952947698295,0.018915952981638402,0.36894027672500596,0.08541593601158488
J Information and communication (TP),1.0,0.0056067069307767035,0.010273683321366727,0.00875322042488491,0.008563162562824682,0.00525826751699962,0.012089791781053343,0.03960594669932846,0.008056341597330744,0.009143894919119822,0.04937280905520125,0.10510199771930566,0.02406343709084766,0.012733876758035225,0.0022595768044938124,0.019723782573805804,0.017052413734848164,0.009703509735186045,0.5619799805718629,0.05563415973307429
K Financial and insurance activities (TP),1.0,0.01185779560904937,0.010431293881644935,0.02219993313273153,0.014465619079460604,0.005706006909617742,0.02433968572383818,0.02023849325755043,0.011657193803633122,0.011211412013819236,0.0391396411456592,0.06682269029310153,0.03009027081243731,0.013083695531037557,0.006330101415357183,0.027816783684386493,0.019079460604034326,0.010631895687061183,0.5638916750250752,0.08039674579293436
L Real estate activities (TP),1.0,0.005357142857142857,0.01868131868131868,0.025183150183150184,0.02683150183150183,0.00902014652014652,0.024496336996336996,0.04565018315018315,0.021062271062271064,0.032692307692307694,0.047435897435897434,0.08502747252747253,0.02683150183150183,0.020512820512820513,0.007234432234432235,0.037133699633699634,0.029624542124542123,0.016483516483516484,0.40215201465201467,0.09093406593406593
"M Professional, scientific and technical activities (TP)",1.0,0.0027226476105665005,0.014124190687523266,0.018292104321929358,0.017321294316016905,0.007715384783830539,0.021562201183950247,0.03684698428455682,0.018116920561463953,0.018919846130263724,0.054774122438849916,0.08910284016671655,0.029438171081540742,0.014000102190526938,0.006438003197103629,0.0261826728662253,0.02330673946525157,0.012854108424149082,0.47160928181957534,0.07779618829334521
N Administrative and support service activities (TP),1.0,0.001733331797712693,0.012956799152337406,0.011298328860838218,0.010883711287963421,0.007981388277839842,0.01663077153420019,0.021024566091192833,0.01713752634549161,0.01778248701440796,0.02956453637693344,0.045786448915659875,0.017891899985027698,0.011425017563661074,0.004589586188627961,0.019049374042636506,0.01982102341437571,0.010031441832609672,0.2068768931323206,0.05250095016527117
O Public administration and defence; compulsory social security (TP),1.0,0.006205188371789858,0.02341285360448442,0.026359014470082126,0.02843610133402859,0.017537913353322037,0.03855212271324903,0.04274975014122453,0.04116803545821927,0.036040498848476946,0.04929387737365837,0.06523269456394212,0.036031808108460434,0.027288923651848956,0.011358797201581715,0.03417198974492678,0.019997392777995046,0.01606917829053144,0.34968061530439315,0.07780819536783558
P Education (TP),1.0,0.003182919806873335,0.021748897368237877,0.03367060893115908,0.029006966987489797,0.01064980921464776,0.033790838506369006,0.05767855673886769,0.021426175876884914,0.030519328486183092,0.06692357828527314,0.09662661123450463,0.045965664964468994,0.0284184748561991,0.014547778600401188,0.03997949769349052,0.029298049116945408,0.015035024773620365,0.3107807961729028,0.07143535129183515
Q Human health and social work activities (TP),1.0,0.004814375145851723,0.01955935023691393,0.04119867287614525,0.037647500481944825,0.013453870270599336,0.03383252670988951,0.046573625949938614,0.031176757069369617,0.033190779127223284,0.061896934830913464,0.09370529327610873,0.04721791008431498,0.02761290191661847,0.013258555788918313,0.0454676894043162,0.036171227386641504,0.025360443998011344,0.2744422122789395,0.09465142706399213
