Postal code area,WHOLE COUNTRY,Ahvenanmaa,Etelä-Karjala,Etelä-Pohjanmaa,Etelä-Savo,Kainuu,Kanta-Häme,Keski-Suomi,Kymenlaakso,Lapland,North Ostrobothnia,Pirkanmaa,Pohjanmaa,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Päijät-Häme,Satakunta,Uusimaa,Varsinais-Suomi
"Workplaces, total (TP)",1.0,0.005092935435565193,0.019756175494436194,0.033873427347893316,0.028850956299228125,0.01077396043978641,0.033962504969068795,0.040901695975863066,0.026396668408333587,0.0270853580765261,0.05093201338911985,0.08470173843176411,0.04178493825945873,0.02270415726587543,0.012131397025161991,0.03423239686606316,0.0321038405749894,0.0187359929872424,0.3157229978475124,0.08364477262826402
"A Agriculture, forestry and fishing (TP)",1.0,0.005106655349464984,0.017518471621189143,0.09171107740687659,0.06191993543629204,0.0198422085240792,0.05475392043636161,0.043274381844240054,0.02432270722306483,0.032462743679296475,0.041674203737459475,0.059137016989717114,0.07097833497989342,0.033506338096762074,0.03734676555303547,0.06488374358189433,0.03392377586374831,0.010950784087272323,0.0560758066984847,0.07070004313523592
B Mining and quarrying (TP),1.0,0.0018889308651303363,0.025878352852285607,0.05629013978088402,0.01303362296939932,0.12825840574234984,0.037400831129580654,0.03418964865885909,0.022100491122024935,0.23347185493010955,0.048356630147336606,0.039667548167737064,0.01718927087268606,0.04722327162825841,0.09576879486210804,0.038345296562145824,0.007177937287495277,0.006989044200982244,0.037778617302606725,0.04571212693615414
C Manufacturing (TP),1.0,0.0019966019703035734,0.025841635206632733,0.047586257011464024,0.035554740459045435,0.007301265437331958,0.0474720666041503,0.04622289275444564,0.029395379094850706,0.022294811949161046,0.056323553328650376,0.11675796132059475,0.07170119484689835,0.027038904325740246,0.01669948199078864,0.027928205376638027,0.04574536923295189,0.025952365298573313,0.21920405825786962,0.11252945593461389
"D Electricity, gas, steam and air conditioning supply (TP)",1.0,0.008694903581267217,0.019886363636363636,0.028581267217630855,0.02737603305785124,0.011535812672176309,0.01756198347107438,0.03521005509641873,0.024793388429752067,0.04674586776859504,0.04734848484848485,0.07145316804407713,0.054924242424242424,0.019025482093663913,0.006800964187327824,0.03056129476584022,0.025396005509641873,0.03589876033057851,0.37887396694214875,0.10365013774104684
"E Water supply; sewerage, waste management and remediation activities (TP)",1.0,0.0070376278502392794,0.01651496668856151,0.03565731444121235,0.03650182978324106,0.014732100966500891,0.0761002158205874,0.054142816927840856,0.041568921835413344,0.028338181476963497,0.05095242563573238,0.07018860842638641,0.05423665196584405,0.025429295298864597,0.017359482030590224,0.03734634512526978,0.04729285915360796,0.03490663413718682,0.2511025616965375,0.08069813268274374
F Construction (TP),1.0,0.005342697857455181,0.021316134674245736,0.033682225623087016,0.028462505465675556,0.009066189331001312,0.03733739615216441,0.04233165719282903,0.02809357236554438,0.026815970703979012,0.056726880192391776,0.08779241364232619,0.037883963707914296,0.023946491036292084,0.015037439877568868,0.03675666812418015,0.03945534543069523,0.020236663751639704,0.32938210537822477,0.09189167031045037
G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),1.0,0.003851066669208625,0.02037252397384325,0.03577679065067775,0.027544659028082282,0.00989838522105504,0.03504089375250224,0.03953634682477647,0.02523020608926086,0.025992793548510095,0.04683430880979162,0.08672525880311899,0.03587592702038015,0.019781518692925094,0.011072769908298858,0.03312298629249042,0.03336701427945017,0.01817627209120546,0.3807980477761043,0.08579871504013116
H Transportation and storage (TP),1.0,0.02053784798733745,0.02056888364731076,0.03481425157505974,0.0246112783588343,0.00951242978181931,0.031446882467955684,0.03289004065671457,0.03844542379193693,0.02813382576580491,0.047236274479376804,0.06995437757983923,0.03274262127184135,0.018986064988671985,0.010311598026132025,0.03459700195524658,0.02891747618013097,0.018280003724279195,0.3770289562707551,0.0933630241147078
I Accommodation and food service activities (TP),1.0,0.006268046198267565,0.024831568816169394,0.025926371511068334,0.030353705486044272,0.011838306063522618,0.033144850818094325,0.0409167468719923,0.02744225216554379,0.039400866217516844,0.04552454282964389,0.08378248315688162,0.031292107795957654,0.02184793070259865,0.008553897978825794,0.03479307025986526,0.03411934552454283,0.01973051010587103,0.35667709335899905,0.08468479307025986
