Postal code area,WHOLE COUNTRY,Ahvenanmaa,Etelä-Karjala,Etelä-Pohjanmaa,Etelä-Savo,Kainuu,Kanta-Häme,Keski-Suomi,Kymenlaakso,Lapland,North Ostrobothnia,Pirkanmaa,Pohjanmaa,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Päijät-Häme,Satakunta,Uusimaa,Varsinais-Suomi
"Workplaces, total (TP)",1.0,0.005304869931262501,0.018987069800831455,0.03273541202897794,0.027267503290266372,0.010516635013826702,0.032057558175785324,0.040505243361750674,0.02542141529480955,0.026884972961677876,0.05191627472755246,0.08597495521698907,0.04040961077960355,0.022298400618789148,0.012090149085718812,0.03352195842046992,0.030819390074770355,0.018140700384384,0.31822563222826444,0.08557093915408558
"A Agriculture, forestry and fishing (TP)",1.0,0.006675977224942065,0.016866434414278916,0.09314139259350204,0.060160530394880216,0.02108687978636873,0.055448978652219955,0.045488727574088,0.023619147009622615,0.03229024386500714,0.042557436424745625,0.05963872987614911,0.0670206725087862,0.03387099249528078,0.03838303227489679,0.06402799306312251,0.03403981031016437,0.011832594115931797,0.055034607652051135,0.07128715910311699
B Mining and quarrying (TP),1.0,0.0017787839586028461,0.01665588615782665,0.04867399741267788,0.013098318240620957,0.13308538163001293,0.031371280724450196,0.02943078913324709,0.014715394566623545,0.24838292367399742,0.059346701164294954,0.040912031047865456,0.020860284605433377,0.03573738680465718,0.07907503234152652,0.04479301423027167,0.01148124191461837,0.00646830530401035,0.04932082794307891,0.0407503234152652
C Manufacturing (TP),1.0,0.0023014127386482815,0.025184030825779767,0.04811267716768422,0.036457665512672564,0.007463152738187999,0.04655100423788717,0.04551865623797923,0.030598926226570795,0.02243219873685318,0.05500705218617771,0.11525474995150595,0.07193558674517772,0.028159428723603618,0.018352122724478153,0.028550668889173826,0.045860580416292686,0.025463488086901347,0.21124338754804198,0.12028169291921055
"D Electricity, gas, steam and air conditioning supply (TP)",1.0,0.008765078538575024,0.018658335502907228,0.02360496398507333,0.02455957649917556,0.00711620237785299,0.018571552547079755,0.03098151523040875,0.021956087824351298,0.03905233012236397,0.047296710925974136,0.07272411698342446,0.04911915299835112,0.011281784257571812,0.00902542740605745,0.03054760045127137,0.02473314241083051,0.024906708322485465,0.4151696606786427,0.11481385055975006
"E Water supply; sewerage, waste management and remediation activities (TP)",1.0,0.004919616972678556,0.015549503645787577,0.03382236668716507,0.03566722305191953,0.01045418606694193,0.07089519458842133,0.05253448124396029,0.037951330932091715,0.029254150926820696,0.05297373275937802,0.07836247035052271,0.05112887639462356,0.02477378546955987,0.018887815162962313,0.036545726082754984,0.047263463058947554,0.02538873759114469,0.25652288500395326,0.08802600368971272
F Construction (TP),1.0,0.005063713429563747,0.01943870225960765,0.03233032092028523,0.025634304573426824,0.009841475983105068,0.03548173786644902,0.04400069104795039,0.025324524457735864,0.028803593449342014,0.06315939974145275,0.08654779847612012,0.036452779382941836,0.021875242015715383,0.014857530933331744,0.03730467470109197,0.0372212723622521,0.020379957226514794,0.3355454810825624,0.09217149903789444
G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),1.0,0.004209924754738546,0.020116201543004097,0.03419754262310696,0.025697685493856558,0.00952471663967997,0.034521382988856084,0.0396875892942185,0.023625107153062198,0.02549576150109534,0.04782169730450519,0.08933422230688637,0.03474616630155253,0.020401943042194493,0.011063910848652252,0.03230783884179446,0.03302790741975426,0.018485570054290884,0.38669968568435087,0.08553957519763787
H Transportation and storage (TP),1.0,0.019049654267092028,0.020202097293666905,0.034649611527483096,0.024750812815777023,0.00911269519026758,0.02930716041091081,0.033367423259505744,0.03737426159693496,0.028566849327614368,0.04904370125013356,0.07108512814250607,0.03305450826553508,0.018316975256819256,0.009685100667043181,0.031993650115244306,0.0276815288568681,0.017698777341901607,0.3821531604414391,0.09235571565948743
I Accommodation and food service activities (TP),1.0,0.00662303518487442,0.023404374335738658,0.026313139788555127,0.026425015382894223,0.011165184315041673,0.031481792247021315,0.04402304637243385,0.02685014264138278,0.04017452592716899,0.04801700509033954,0.0829669407618728,0.03373049169323712,0.02226324327347989,0.009576550875426526,0.03312636348380601,0.034289869664932596,0.018258096996140293,0.35607764166247136,0.08583095597695363
J Information and communication (TP),1.0,0.005382142173216284,0.009927734158460747,0.008587238074120363,0.008093371095679168,0.005130169225032,0.012255964199683523,0.038813912938306945,0.007992581916405455,0.008284870536299224,0.05089853553322515,0.10781418506909098,0.022506223731820152,0.01254825281957729,0.002156888436457462,0.019422074846044527,0.016479030811252102,0.009433867180019553,0.5654776903151678,0.05516191781650322
