Region,Information,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MK01 Uusimaa,Accumulated purchasing power of inhabitants (HR),30169139085.0,31636625457.0,32407646741.0,33542450481.0,33854839088.0,34924338000.0,35648048786.0,37223473494.0,38782233479.0,40056583273.0,40682161736.0,43325038527.0
MK01 Uusimaa,"Households, total (TE)",718428.0,726897.0,737187.0,746280.0,754694.0,763896.0,775050.0,788882.0,802417.0,818267.0,833462.0,844561.0
MK01 Uusimaa,Average size of households (TE),2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0
MK01 Uusimaa,Average floor area per person (TE),36.4,36.6,36.7,36.7,36.7,36.8,36.8,36.9,37.0,37.2,37.4,37.5
MK01 Uusimaa,One-person households (TE),296650.0,300644.0,305634.0,309310.0,313074.0,317765.0,324068.0,335085.0,345627.0,357318.0,369689.0,379590.0
MK01 Uusimaa,Young one-person households (TE),78717.0,79124.0,80450.0,80220.0,80592.0,81364.0,83631.0,89553.0,94597.0,100650.0,106909.0,111806.0
MK01 Uusimaa,Young couples without children (TE),39352.0,39490.0,39802.0,39999.0,40101.0,40402.0,40907.0,40581.0,40666.0,41276.0,42113.0,42191.0
MK01 Uusimaa,Households with children (TE),175852.0,176459.0,177143.0,178046.0,179379.0,180569.0,182007.0,182830.0,183517.0,184697.0,185932.0,186616.0
MK01 Uusimaa,Households with small children (TE),49028.0,49141.0,49273.0,48979.0,48963.0,48853.0,48220.0,47060.0,45793.0,44936.0,44301.0,44975.0
MK01 Uusimaa,Households with children under school age (TE),87741.0,88816.0,89999.0,90678.0,91565.0,91945.0,91886.0,91217.0,90149.0,89511.0,88396.0,87391.0
MK01 Uusimaa,Households with school-age children (TE),72785.0,73714.0,74595.0,75793.0,77165.0,78942.0,80558.0,82188.0,83712.0,84726.0,85622.0,85637.0
MK01 Uusimaa,Households with teenagers (TE),67395.0,66284.0,65212.0,64522.0,64240.0,64421.0,65209.0,66320.0,67099.0,68476.0,70110.0,71338.0
MK01 Uusimaa,One-parent households with children (TE),36623.0,36687.0,36865.0,37146.0,37772.0,38489.0,39726.0,40740.0,41498.0,42103.0,42993.0,42884.0
MK01 Uusimaa,Adult households (TE),386679.0,386742.0,388652.0,389557.0,390043.0,392450.0,397044.0,404585.0,412471.0,421857.0,430925.0,436376.0
MK01 Uusimaa,Pensioner households (TE),158553.0,166497.0,174392.0,181771.0,188454.0,194085.0,199237.0,204761.0,209723.0,215096.0,219982.0,225079.0
MK01 Uusimaa,Households living in owner-occupied dwellings (TE),419544.0,423848.0,427747.0,431081.0,432723.0,434357.0,437227.0,440819.0,444100.0,448016.0,458739.0,461397.0
MK01 Uusimaa,Households living in rented dwellings (TE),281217.0,284935.0,290104.0,295937.0,305830.0,312820.0,321260.0,331783.0,342554.0,353769.0,365482.0,375142.0
MK01 Uusimaa,Households living in other dwellings (TE),17667.0,18114.0,19336.0,19262.0,16141.0,16719.0,16563.0,16280.0,15763.0,16482.0,9241.0,8022.0
MK01 Uusimaa,"Households, total (TR)",718428.0,726897.0,737187.0,746280.0,754694.0,763896.0,775050.0,788882.0,802417.0,818267.0,833462.0,844561.0
MK01 Uusimaa,Average income of households (TR),41578.0,43059.0,43493.0,44460.0,44356.0,45188.0,45407.0,46569.0,47687.0,48384.0,48194.0,50739.0
MK01 Uusimaa,Median income of households (TR),32591.0,33516.0,34556.0,34878.0,35120.0,35445.0,35714.0,36138.0,36680.0,37349.0,37115.0,37972.0
MK01 Uusimaa,Households belonging to the lowest income category (TR),135983.0,139171.0,140961.0,141572.0,142702.0,142914.0,147157.0,151398.0,155059.0,159629.0,164970.0,171246.0
MK01 Uusimaa,Households belonging to the middle income category (TR),389250.0,395392.0,401027.0,407633.0,412686.0,418501.0,424110.0,431271.0,438671.0,446056.0,454892.0,459218.0
MK01 Uusimaa,Households belonging to the highest income category (TR),193195.0,192334.0,195199.0,197075.0,199306.0,202481.0,203783.0,206213.0,208687.0,212582.0,213600.0,214097.0
MK01 Uusimaa,Accumulated purchasing power of households (TR),29870693250.0,31299267323.0,32062165758.0,33179741971.0,33475387779.0,34519061126.0,35192674893.0,36737142574.0,38265159147.0,39590969365.0,40167937712.0,42852564510.0
MK01 Uusimaa,Free-time residences (RA),41241.0,41337.0,41456.0,41519.0,41626.0,41692.0,41836.0,42059.0,42217.0,42252.0,41491.0,41597.0
MK01 Uusimaa,"Buildings, total (RA)",245903.0,248962.0,252002.0,254253.0,256730.0,258925.0,260933.0,264373.0,266343.0,267943.0,269596.0,271087.0
MK01 Uusimaa,Other buildings (RA),30824.0,31191.0,31517.0,31652.0,31807.0,32093.0,32164.0,33129.0,33241.0,32682.0,32700.0,33033.0
MK01 Uusimaa,Residential buildings (RA),215079.0,217771.0,220485.0,222601.0,224923.0,226832.0,228769.0,231244.0,233102.0,235261.0,236896.0,238054.0
MK01 Uusimaa,Dwellings (RA),771664.0,781652.0,793175.0,807374.0,818553.0,828199.0,844819.0,860378.0,879006.0,894456.0,909627.0,927122.0
MK01 Uusimaa,Average floor area per dwelling (RA),74.8,75.0,75.0,75.1,75.1,75.0,74.9,74.6,74.3,74.0,73.8,73.4
MK01 Uusimaa,Dwellings in small houses (RA),277862.0,281051.0,284242.0,288096.0,290168.0,291854.0,295839.0,299013.0,302264.0,304252.0,307563.0,309478.0
MK01 Uusimaa,Dwellings in blocks of flats (RA),484457.0,491888.0,499843.0,509344.0,518047.0,526096.0,538822.0,551027.0,566779.0,580475.0,590979.0,606517.0
MK01 Uusimaa,Other dwellings (RA),9345.0,8713.0,9090.0,9934.0,10338.0,10249.0,10158.0,10338.0,9963.0,9729.0,11085.0,11127.0
MK01 Uusimaa,"Workplaces, total (TP)",772953.0,784564.0,786409.0,777588.0,771293.0,771891.0,783697.0,804255.0,826688.0,836622.0,797639.0,
MK01 Uusimaa,Primary production (TP),5278.0,4979.0,4945.0,4805.0,4728.0,4594.0,4365.0,4272.0,4092.0,4000.0,3815.0,
MK01 Uusimaa,Processing (TP),128304.0,129606.0,128281.0,124378.0,122638.0,122008.0,124088.0,128267.0,132222.0,133303.0,129694.0,
MK01 Uusimaa,Services (TP),630043.0,640525.0,644557.0,641394.0,636069.0,637010.0,646843.0,662183.0,679857.0,687267.0,652095.0,
MK01 Uusimaa,"A Agriculture, forestry and fishing (TP)",5278.0,4979.0,4945.0,4805.0,4728.0,4594.0,4365.0,4272.0,4092.0,4000.0,3815.0,
MK01 Uusimaa,B Mining and quarrying (TP),424.0,397.0,281.0,295.0,334.0,211.0,236.0,317.0,343.0,276.0,343.0,
MK01 Uusimaa,C Manufacturing (TP),74600.0,73280.0,72122.0,67876.0,66607.0,65370.0,64094.0,65128.0,66345.0,66586.0,64097.0,
MK01 Uusimaa,"D Electricity, gas, steam and air conditioning supply (TP)",4596.0,4740.0,4766.0,4760.0,4627.0,4439.0,4792.0,4819.0,4795.0,5065.0,5111.0,
MK01 Uusimaa,"E Water supply; sewerage, waste management and remediation activities (TP)",2682.0,2703.0,2552.0,2506.0,2552.0,2724.0,2828.0,2913.0,2989.0,2894.0,2900.0,
MK01 Uusimaa,F Construction (TP),46002.0,48486.0,48560.0,48941.0,48518.0,49264.0,52138.0,55090.0,57750.0,58482.0,57243.0,
MK01 Uusimaa,G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),112866.0,113491.0,113290.0,110756.0,105065.0,102478.0,101706.0,102527.0,103947.0,103696.0,98615.0,
MK01 Uusimaa,H Transportation and storage (TP),51626.0,51988.0,51621.0,50040.0,50999.0,49429.0,49034.0,50110.0,51113.0,51910.0,42539.0,
MK01 Uusimaa,I Accommodation and food service activities (TP),29060.0,30109.0,30713.0,30672.0,30280.0,30753.0,32041.0,33677.0,33563.0,33955.0,24183.0,
MK01 Uusimaa,J Information and communication (TP),48868.0,50353.0,50409.0,50213.0,50943.0,50979.0,52736.0,55369.0,58420.0,59724.0,61143.0,
MK01 Uusimaa,K Financial and insurance activities (TP),25783.0,26063.0,25523.0,24941.0,24290.0,24497.0,24880.0,25580.0,25887.0,25963.0,26072.0,
MK01 Uusimaa,L Real estate activities (TP),8213.0,8334.0,8606.0,8612.0,8087.0,8366.0,8445.0,8898.0,9179.0,9419.0,9460.0,
MK01 Uusimaa,"M Professional, scientific and technical activities (TP)",59768.0,61938.0,62088.0,62647.0,61846.0,62493.0,64434.0,66819.0,69965.0,70949.0,69467.0,
MK01 Uusimaa,N Administrative and support service activities (TP),53400.0,56633.0,56906.0,56149.0,57821.0,63181.0,67202.0,68425.0,73549.0,72173.0,63785.0,
MK01 Uusimaa,O Public administration and defence; compulsory social security (TP),44238.0,43520.0,44445.0,43003.0,42810.0,42167.0,42269.0,43335.0,43562.0,44533.0,45324.0,
MK01 Uusimaa,P Education (TP),50889.0,51608.0,51620.0,51317.0,50299.0,50356.0,49827.0,50059.0,50529.0,53334.0,53264.0,
MK01 Uusimaa,Q Human health and social work activities (TP),103424.0,103632.0,105992.0,107216.0,106770.0,105522.0,107225.0,109925.0,112007.0,114746.0,114871.0,
MK01 Uusimaa,"R Arts, entertainment and recreation (TP)",16631.0,16972.0,17318.0,17819.0,18266.0,18471.0,18864.0,19419.0,20055.0,19844.0,17238.0,
MK01 Uusimaa,S Other service activities (TP),24812.0,25438.0,25606.0,25486.0,25596.0,24836.0,24568.0,24904.0,25007.0,24753.0,23615.0,
MK01 Uusimaa,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),24.0,21.0,26.0,2047.0,2470.0,2975.0,3074.0,2841.0,2790.0,1879.0,2052.0,
MK01 Uusimaa,U Activities of extraterritorial organisations and bodies (TP),441.0,425.0,394.0,476.0,527.0,507.0,538.0,295.0,284.0,389.0,467.0,
MK01 Uusimaa,X Industry unknown (TP),9328.0,9454.0,8626.0,7011.0,7858.0,8279.0,8401.0,9533.0,10517.0,12052.0,12035.0,
MK01 Uusimaa,"Inhabitants, total (PT)",1532309.0,1549058.0,1566835.0,1585473.0,1603388.0,1620261.0,1638293.0,1655624.0,1671024.0,1689725.0,1702678.0,1714741.0
MK01 Uusimaa,Employed (PT),744820.0,755479.0,757522.0,750579.0,745478.0,745792.0,756611.0,775979.0,797737.0,807755.0,768692.0,802986.0
MK01 Uusimaa,Unemployed (PT),59111.0,57140.0,63335.0,78316.0,90857.0,97779.0,94013.0,81371.0,72466.0,72406.0,114143.0,89635.0
MK01 Uusimaa,Children aged 0 to 14 (PT),260368.0,262194.0,264409.0,267640.0,270609.0,273167.0,275492.0,277390.0,277777.0,277607.0,277306.0,276478.0
MK01 Uusimaa,Students (PT),114931.0,113365.0,114214.0,116370.0,118875.0,120267.0,120452.0,119130.0,117456.0,122803.0,133080.0,132701.0
MK01 Uusimaa,Pensioners (PT),284247.0,291614.0,297895.0,305116.0,310744.0,316801.0,323937.0,332423.0,337208.0,339433.0,342449.0,344001.0
MK01 Uusimaa,Others (PT),68832.0,69266.0,69460.0,67452.0,66825.0,66455.0,67788.0,69331.0,68380.0,69721.0,67008.0,68940.0
MK02 Southwest Finland,"Inhabitants, total (HE)",465183.0,467217.0,468936.0,470880.0,472725.0,474323.0,475543.0,477677.0,478582.0,479341.0,481403.0,483477.0
MK02 Southwest Finland,Males (HE),226014.0,227107.0,228122.0,229299.0,230309.0,231240.0,232069.0,233454.0,234142.0,234555.0,235849.0,237149.0
MK02 Southwest Finland,Females (HE),239169.0,240110.0,240814.0,241581.0,242416.0,243083.0,243474.0,244223.0,244440.0,244786.0,245554.0,246328.0
MK02 Southwest Finland,Average age of inhabitants (HE),42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0
MK02 Southwest Finland,0-2 years (HE),14867.0,14920.0,14829.0,14495.0,14305.0,14137.0,13682.0,13168.0,12443.0,11916.0,11626.0,12004.0
MK02 Southwest Finland,3-6 years (HE),19171.0,19215.0,19486.0,19854.0,19993.0,19896.0,19705.0,19478.0,19212.0,18766.0,18292.0,17519.0
MK02 Southwest Finland,7-12 years (HE),29036.0,29030.0,28833.0,28820.0,28958.0,29258.0,29494.0,29798.0,30176.0,30286.0,30346.0,30308.0
MK02 Southwest Finland,13-15 years (HE),15728.0,15363.0,15200.0,15080.0,14941.0,14638.0,14433.0,14600.0,14664.0,14797.0,14796.0,15062.0
MK02 Southwest Finland,16-17 years (HE),10987.0,10939.0,10651.0,10459.0,10203.0,10141.0,10208.0,9914.0,9675.0,9691.0,9895.0,9901.0
MK02 Southwest Finland,18-19 years (HE),11226.0,11230.0,11223.0,11218.0,10872.0,10635.0,10433.0,10405.0,10392.0,10148.0,9931.0,10019.0
MK02 Southwest Finland,20-24 years (HE),28884.0,29464.0,30138.0,30261.0,30750.0,30718.0,30605.0,30584.0,30219.0,29818.0,29717.0,29446.0
MK02 Southwest Finland,25-29 years (HE),30168.0,29961.0,29481.0,29516.0,29203.0,29522.0,30107.0,31088.0,31301.0,31597.0,31636.0,31272.0
MK02 Southwest Finland,30-34 years (HE),29526.0,29481.0,29503.0,29682.0,30131.0,30120.0,29918.0,29537.0,29563.0,29468.0,30067.0,30939.0
MK02 Southwest Finland,35-39 years (HE),27203.0,27610.0,28367.0,29318.0,29605.0,29663.0,29768.0,30021.0,30169.0,30564.0,30716.0,30825.0
MK02 Southwest Finland,40-44 years (HE),30604.0,29677.0,28736.0,27528.0,27252.0,27454.0,27887.0,28753.0,29777.0,30110.0,30219.0,30421.0
MK02 Southwest Finland,45-49 years (HE),31844.0,32141.0,32232.0,32013.0,31401.0,30738.0,29801.0,28866.0,27546.0,27305.0,27627.0,28272.0
MK02 Southwest Finland,50-54 years (HE),31170.0,30679.0,30828.0,31259.0,31584.0,31710.0,32000.0,32138.0,32014.0,31389.0,30699.0,29813.0
MK02 Southwest Finland,55-59 years (HE),32876.0,32765.0,31864.0,31367.0,30965.0,30757.0,30351.0,30477.0,30950.0,31263.0,31478.0,31747.0
MK02 Southwest Finland,60-64 years (HE),35730.0,34914.0,34104.0,33140.0,32677.0,32131.0,32048.0,31235.0,30832.0,30408.0,30239.0,29863.0
MK02 Southwest Finland,65-69 years (HE),25400.0,27086.0,30378.0,32620.0,34174.0,34388.0,33586.0,32873.0,31954.0,31471.0,31109.0,31038.0
MK02 Southwest Finland,70-74 years (HE),19854.0,21128.0,20777.0,20985.0,21541.0,23769.0,25347.0,28495.0,30626.0,31975.0,32222.0,31450.0
MK02 Southwest Finland,75-79 years (HE),16202.0,16291.0,16515.0,17198.0,17772.0,17712.0,18890.0,18512.0,18756.0,19338.0,21440.0,22960.0
MK02 Southwest Finland,80-84 years (HE),13478.0,13658.0,13638.0,13366.0,13175.0,13164.0,13224.0,13427.0,14057.0,14594.0,14582.0,15615.0
MK02 Southwest Finland,85 years or over (HE),11229.0,11665.0,12153.0,12701.0,13223.0,13772.0,14056.0,14308.0,14256.0,14437.0,14766.0,15003.0
MK02 Southwest Finland,"Aged 18 or over, total (KO)",375394.0,377750.0,379937.0,382172.0,384325.0,386253.0,388021.0,390719.0,392412.0,393885.0,396448.0,398683.0
MK02 Southwest Finland,Basic level studies (KO),114028.0,111920.0,109942.0,107207.0,104771.0,103718.0,101454.0,98907.0,94662.0,92535.0,91194.0,89868.0
MK02 Southwest Finland,"With education, total (KO)",261366.0,265830.0,269995.0,274965.0,279554.0,282535.0,286567.0,291812.0,297750.0,301350.0,305254.0,308815.0
MK02 Southwest Finland,Matriculation examination (KO),30918.0,31013.0,30951.0,30653.0,30590.0,30397.0,30221.0,29924.0,30128.0,30245.0,30515.0,30884.0
MK02 Southwest Finland,Vocational diploma (KO),165486.0,167294.0,168976.0,171390.0,173493.0,173980.0,175591.0,177897.0,179712.0,180430.0,180983.0,181397.0
MK02 Southwest Finland,Academic degree - Lower level university degree (KO),32949.0,34536.0,36070.0,37559.0,39010.0,40776.0,42300.0,44210.0,46316.0,47832.0,49245.0,50468.0
MK02 Southwest Finland,Academic degree - Higher level university degree (KO),32013.0,32987.0,33998.0,35363.0,36461.0,37382.0,38455.0,39781.0,41594.0,42843.0,44511.0,46066.0
MK02 Southwest Finland,"Aged 18 or over, total (HR)",375394.0,377750.0,379937.0,382172.0,384325.0,386253.0,388021.0,390719.0,392412.0,393885.0,396448.0,398683.0
MK02 Southwest Finland,Average income of inhabitants (HR),21270.0,22122.0,22505.0,22558.0,22754.0,22976.0,23345.0,23941.0,24731.0,25196.0,25311.0,26563.0
MK02 Southwest Finland,Median income of inhabitants (HR),18623.0,19189.0,19846.0,19840.0,20021.0,20174.0,20438.0,20892.0,21414.0,22001.0,22161.0,22807.0
MK02 Southwest Finland,Inhabitants belonging to the lowest income category (HR),73894.0,74674.0,75615.0,77546.0,78202.0,78490.0,78739.0,78710.0,79160.0,79159.0,79774.0,80215.0
MK02 Southwest Finland,Inhabitants belonging to the middle income category (HR),231641.0,232909.0,233000.0,234731.0,236504.0,237652.0,238619.0,240865.0,242393.0,243173.0,245117.0,246772.0
MK02 Southwest Finland,Inhabitants belonging to the highest income category (HR),69859.0,70167.0,71322.0,69895.0,69619.0,70111.0,70663.0,71144.0,70859.0,71553.0,71557.0,71696.0
MK02 Southwest Finland,Accumulated purchasing power of inhabitants (HR),7984760920.0,8356416052.0,8550307848.0,8620955781.0,8744809445.0,8874665505.0,9058179299.0,9354106901.0,9704655359.0,9924267330.0,10034511664.0,10590127763.0
MK02 Southwest Finland,"Households, total (TE)",225268.0,226894.0,228777.0,230094.0,231584.0,233177.0,234776.0,237247.0,239941.0,242477.0,245683.0,248584.0
MK02 Southwest Finland,Average size of households (TE),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9
MK02 Southwest Finland,Average floor area per person (TE),41.0,41.3,41.5,41.7,41.8,42.0,42.3,42.4,42.7,42.9,43.2,43.4
MK02 Southwest Finland,One-person households (TE),95852.0,97054.0,98518.0,99140.0,100246.0,101504.0,103051.0,105485.0,108400.0,111094.0,113826.0,116588.0
MK02 Southwest Finland,Young one-person households (TE),24120.0,24564.0,25167.0,25100.0,25297.0,25524.0,26149.0,27777.0,29411.0,30819.0,32105.0,33276.0
MK02 Southwest Finland,Young couples without children (TE),10773.0,10746.0,10641.0,10812.0,10644.0,10706.0,10817.0,10528.0,10565.0,10613.0,10920.0,10973.0
MK02 Southwest Finland,Households with children (TE),49934.0,49806.0,49662.0,49379.0,49153.0,48939.0,48671.0,48321.0,47912.0,47619.0,47482.0,47487.0
MK02 Southwest Finland,Households with small children (TE),13226.0,13235.0,13163.0,12902.0,12733.0,12664.0,12225.0,11880.0,11232.0,10835.0,10553.0,10835.0
MK02 Southwest Finland,Households with children under school age (TE),23939.0,23963.0,24111.0,24088.0,24056.0,23902.0,23560.0,23220.0,22616.0,22181.0,21735.0,21395.0
MK02 Southwest Finland,Households with school-age children (TE),21532.0,21510.0,21381.0,21371.0,21371.0,21444.0,21601.0,21858.0,22078.0,22221.0,22243.0,22124.0
MK02 Southwest Finland,Households with teenagers (TE),20200.0,20045.0,19704.0,19419.0,19181.0,19020.0,18917.0,18826.0,18729.0,18742.0,18862.0,18983.0
MK02 Southwest Finland,One-parent households with children (TE),9485.0,9556.0,9544.0,9544.0,9595.0,9748.0,9790.0,9961.0,9972.0,10101.0,10253.0,10198.0
MK02 Southwest Finland,Adult households (TE),113898.0,113518.0,113138.0,112480.0,112157.0,112184.0,112495.0,113664.0,115482.0,116938.0,118574.0,119744.0
