,Time,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
0,2015,16912019613.869345,4646911955.703127,3348065835.529162,1288965415.0065064,4161018697.426127,1696979894.317805,4765999999.999999,1277000000.0,386993323.78767234,1134989072.98476,765999999.9999999,2134961458.6153984,552993712.4080454,3128999999.9999995,1728944620.607924,1396000000.0000002,144986625.26134548,3875100314.534605,103000000.0
1,2016,15850000000.0,4000000000.0,3098061630.2780128,1367000000.0,4137943974.076615,1670000000.0,4660934849.459059,1397026642.509774,422021918.6620267,1177000000.0,755011459.7088779,2159000000.0,561012815.0948569,3122037075.3025284,1806000000.0,1337015766.4164715,211006384.459439,3552999999.9999995,83009047.30760847
2,2017,18255020476.58681,5762947161.403894,4148917647.525853,1458960107.7282732,4775021099.097268,1817978554.2396076,3386952561.696406,2177041657.8962474,409992862.4897725,1590984615.8308997,899026970.6742668,2394021312.20511,612013934.9021482,3507041686.4777484,1610839012.691116,1877000000.0,353968230.2261577,3914900519.63562,96000000.0
3,2018,18717000000.0,6369971403.68834,4246042156.8919473,1396018842.9662824,4714959726.842935,1946000000.0,4019890186.437205,2490046848.541863,391993176.7941376,1506971687.5675168,972014426.5020185,2923000000.0,631992874.3770717,3508000000.0,1865122822.615167,2318973733.2434745,439000000.0,4328946380.796671,94010364.40818126
4,2019,19361040802.047585,7450000000.0,3981920811.3751616,1394018601.299689,5261000000.0,1897022017.943986,4675871367.068759,2106079691.224884,373987019.7480304,1578014434.4230804,920972894.2256756,2686977005.297254,648992744.3066844,3550082539.9039745,1715000000.0,2282000000.0,440000000.00000006,3818093859.088451,104000000.0
5,2020,16571053529.204014,6915938068.074969,3957000000.0,1315912369.4864695,4870937205.644746,1647960517.962171,3002915262.8460174,1944037729.989908,398000000.0,1456959295.6120093,809987663.1585361,2475000000.0,636007204.5130156,3226000000.0000005,1892938465.0391705,1620990971.9746928,395011911.5828835,3445913751.892778,85004689.13775033
6,2021,18515261176.728333,8024765082.8203125,4351652420.202148,1386074971.042801,5337562010.344055,1831920414.3131256,3255147750.3325806,2502543462.058777,387643369.3666439,1660676618.1783142,910902687.6971207,2844582532.960144,674094191.1110153,3471022291.8365173,1861391435.2852554,2234566143.118744,517861764.35665894,3718877155.2542267,91188694.49250197
7,2022,18770073915.115173,8655211095.538086,4506740410.531433,1390856190.9632244,5532758546.747925,1849663922.6273422,3020873567.5877075,2672415274.2354126,384711242.8191843,1736534155.513916,929453893.9309082,2953051603.6006165,692790949.9351044,3516630633.919754,1889195227.0239792,2365027922.1751404,572879431.2120972,3687779239.578064,90351457.60456586
8,2023,19024886653.502075,9285657108.25586,4661828400.860779,1395637410.8836498,5727955083.151855,1867407430.9415512,2786599384.8428345,2842287086.4120483,381779116.27172375,1812391692.8495178,948005100.1646881,3061520674.241089,711487708.7591858,3562238976.0029907,1916999018.762703,2495489701.2315674,627897098.0675354,3656681323.9019012,89514220.71662974
