Year,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
2017,1078359.0,293018.0,128027.0,102201.0,317608.0,122107.0,98782.0,76809.0,79210.0,151157.0,99288.0,165746.0,112963.0,104365.0,39579.0,247931.0,43004.0,107312.0,17942.0
2018,1085345.0,292438.0,125963.0,100511.0,318590.0,120754.0,96775.0,75616.0,76821.0,149142.0,97958.0,164568.0,111435.0,103910.0,39036.0,247174.0,41942.0,105856.0,17892.0
2019,1096025.0,291761.0,124031.0,99698.0,319420.0,119166.0,94782.0,74502.0,74627.0,147094.0,96455.0,163666.0,109818.0,103234.0,38598.0,246884.0,40907.0,104031.0,17811.0
2020,1102795.0,292224.0,122634.0,99119.0,321107.0,118143.0,93283.0,73593.0,72918.0,145677.0,94983.0,162777.0,108576.0,102817.0,38288.0,246711.0,40122.0,102834.0,17898.0
2021,1108121.0,292518.0,121402.0,98493.0,324044.0,117280.0,91892.0,72748.0,71654.0,144995.0,94195.0,162285.0,107724.0,102784.0,38023.0,247764.0,39606.0,101836.0,17905.0
2022,1117221.1999999993,292027.60000000003,119437.69999999972,97362.0,324770.5,115810.5,89921.20000000019,71610.09999999986,69341.5,142876.2999999998,92627.5,161194.5,106102.10000000056,102145.5,37546.80000000005,247053.69999999998,38531.40000000014,100181.59999999963,17869.199999999997
2023,1124918.5999999996,291906.20000000007,117779.79999999981,96481.19999999995,326309.3999999999,114584.0,88194.0,70595.59999999986,67440.0,141297.3999999999,91311.3999999999,160323.19999999995,104768.40000000037,101720.0,37160.80000000005,246973.99999999997,37669.80000000005,98784.19999999972,17862.399999999998
2024,1132616.0,291784.80000000005,116121.8999999999,95600.3999999999,327848.2999999998,113357.5,86466.79999999981,69581.09999999986,65538.5,139718.5,89995.29999999981,159451.8999999999,103434.70000000019,101294.5,36774.80000000005,246894.29999999996,36808.19999999995,97386.79999999981,17855.6
