,Time,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
0,2015,32.87024173381495,-15.053230997771724,-47.0032930845225,-28.194927896568867,-13.688524590163938,-21.12776588151321,-68.2909604519774,-54.41354292623942,-22.27488151658768,-37.910085054678,-47.30769230769232,-47.80200761509173,-1.6544117647058771,-40.97769767965757,-6.531115218730737,1.6555125044029502,-47.9591836734694,-39.13824057450629,68.8821752265861
1,2016,36.96685291602872,-13.749466799374376,-42.60069044879172,-30.563514804202484,-10.997854077253216,-21.720116618075803,-68.63241678726484,-61.03746397694525,-23.75366568914956,-39.12529550827424,-43.26375711574953,-47.17109747784595,-5.451127819548871,-38.63232682060391,-12.139087239987582,3.045685279187815,-48.070175438596486,-38.03418803418804,70.51509769094139
2,2017,33.70135648005229,-12.197021318018098,-40.73948439620082,-28.773168578993825,-15.449709864603475,-23.045685279187826,-25.70050102059751,-69.41634241245137,-19.359534206695784,-49.952874646559856,-46.77551020408163,-46.69117647058823,-5.245055889939806,-43.37694194603435,13.177041228779308,-2.3725115898554674,-59.10112359550561,-38.119597812665376,56.659142212189614
3,2018,34.959603857180085,-9.808653680399924,-42.96296296296296,-19.674239177025285,-12.061794414735592,-22.505508341202397,-38.8121546961326,-64.90066225165563,-15.80502215657311,-48.25381210034433,-45.07462686567164,-52.002080083203325,-4.7224523612261775,-46.87042076617124,12.276575729068682,-5.601092896174867,-62.2920517560074,-36.97199810156621,44.213649851632056
4,2019,32.98025165723385,-15.18243661100804,-39.3038306804268,-17.83601014370245,-17.106288258208124,-21.836865767501603,-63.32518337408312,-61.13236419280796,-12.650602409638555,-47.270181987867474,-40.61068702290076,-45.0080949811117,-1.5649452269170558,-45.34288638689867,2.4736991754336013,-2.0572450805008944,-63.568773234200734,-31.905337709448958,58.56573705179283
5,2020,34.29942114027437,-17.80938591261391,-36.47180548370409,-13.4971970677016,-16.00381043105501,-18.009308986752597,-55.63617517491579,-61.93252811328613,-16.374269005847953,-44.18604651162791,-36.02015113350126,-42.07807118254879,4.504504504504505,-43.059866962306,3.4676185619581856,6.785508913168482,-53.100775193798455,-36.55637012086388,56.8527918781726
6,2021,33.580769644057625,-15.621959721014377,-35.23258855765607,-11.064462954627743,-17.020621310421348,-19.733465266044618,-37.05151676724381,-65.53736629442301,-11.729585756427241,-49.52935792392827,-36.38813440620879,-43.85517167935291,2.6380440659945634,-46.702795993683594,10.004190356214167,1.1584947528404825,-61.585234588351796,-33.56652957678716,49.73587870116535
7,2022,33.40204672285654,-16.125651601343066,-33.46336257934536,-7.62337175718767,-17.8105680777785,-19.24235227067379,-33.076335142551216,-66.53057826790268,-9.834849756682615,-51.0145513869893,-34.46702569064837,-42.985436800350726,3.9937684691994946,-47.78489846611046,12.055197311268785,1.2740303436710008,-63.03811950326144,-32.64953998380065,47.194077022571946
8,2023,33.223323801655454,-16.629343481671754,-31.694136601034643,-4.182280559748506,-18.60051484513542,-18.75123927530285,-29.10115351785953,-67.52379024138236,-7.940113756937535,-52.499744850049865,-32.54591697508749,-42.115701921348546,5.349492872404426,-48.86700093853733,14.106204266323402,1.3895659345015474,-64.49100441817154,-31.73255039081414,44.652275343978545
