,Time,MK01,MK02,MK04,MK05,MK06,MK07,MK08,MK09,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK21
0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016,-1062019613.8693428,-646911955.7031269,-250004205.2511492,78034584.99349356,-23074723.3495121,-26979894.31780505,-105065150.54094028,120026642.50977395,35028594.87435436,42010927.015239954,-10988540.29112196,24038541.384601597,8019102.686811447,-6962924.697471142,77055379.39207602,-58984233.58352852,66019759.19809353,-322100314.5346055,-19990952.69239153
2,2017,2405020476.586811,1762947161.4038944,1050856017.2478404,91960107.72827315,637077125.0206532,147978554.23960733,-1273982287.7626529,780015015.3864734,-12029056.172254205,413984615.8308997,144015510.9653889,235021312.20511007,51001119.80729139,385004611.17522,-195160987.3088839,539984233.5835285,142961845.76671872,361900519.6356201,12990952.69239153
3,2018,461979523.4131889,607024242.2844458,97124509.36609413,-62941264.76199079,-60061372.254333496,128021445.76039268,632937624.7407994,313005190.6456156,-17999685.6956349,-84012928.26338291,72987455.82775164,528978687.7948899,19978939.47492349,958313.522251606,254283809.92405057,441973733.2434743,85031769.77384228,414045861.1610513,-1989635.591818735
4,2019,644040802.0475845,1080028596.3116598,-264121345.5167856,-2000241.6665933128,546040273.1570654,-48977982.05601406,655981180.6315536,-383967157.3169794,-18006157.046107173,71042746.85556364,-51041532.27634299,-236022994.7027459,16999869.929612637,42082539.90397453,-150122822.61516666,-36973733.24347448,1000000.0000000596,-510852521.70822,9989635.591818737
5,2020,-2789987272.8435707,-534061931.9250307,-24920811.375161648,-78106231.81321955,-390062794.3552542,-249061499.9818149,-1672956104.2227416,-162041961.2349758,24012980.251969576,-121055138.81107116,-110985231.0671394,-211977005.2972541,-12985539.793668749,-324082539.90397406,177938465.0391705,-661009028.0253072,-44988088.41711658,-372180107.195673,-18995310.862249672
6,2021,-1353336591.7554932,445419988.91625977,-14371162.87551117,-92056448.66345215,78013985.62198639,-152053180.74017334,-714362479.121582,-64166368.354263306,-6201163.793120384,-58399554.38571167,-49801258.0376358,-116648284.86538696,2881229.387351036,-173252746.61557007,106840069.68262482,-341590560.4098511,-5390660.451259613,-377711100.5281372,-5422552.436014652
7,2022,-1684655333.4610596,476814326.3881378,-46797022.29119873,-117805366.52996826,56907877.15737915,-192064997.02444458,-834944323.0185242,-121661945.0040741,-9001996.804983139,-94146871.10700989,-67908388.8598938,-172850873.88581848,165046.48005580902,-226714158.81311035,131520503.28141022,-445270429.2133789,-18575587.287490845,-475002363.19473267,-6039612.819883585
8,2023,-2015974075.166504,508208663.8600235,-79222881.70688629,-143554284.396492,35801768.69277191,-232076813.30873108,-955526166.9154663,-179157521.6538849,-11802829.81684494,-129894187.82829285,-86015519.68215942,-229053462.90625,-2551136.4272384644,-280175571.01065063,156200936.88020325,-548950298.0169373,-31760514.12372589,-572293625.8613281,-6656673.203752756
