Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
Forssa,1.0,0.08780345509350793,0.004796940329951706,0.20390237578193368,0.00359770524746378,0.008556704372346288,0.07150034032346936,0.11230674488704502,0.05416004926587366,0.03425922924837131,0.007940880951609244,0.013969468123035038,0.005542410786633391,0.04398275694421936,0.0353288172949146,0.03571775840274852,0.06978251709720286,0.16821702913817133,0.011279292127183742,0.02686934819952679,0.0003241175898616018,0.0,0.0
Helsinki,1.0,0.005656807258680322,0.0002807348515474105,0.08891995687912681,0.0061775704083007685,0.0037562323137043524,0.06767253963976104,0.14018494812019944,0.06820874320621659,0.0416147307191304,0.06931764586982886,0.03398435745407178,0.011646285316444325,0.08482122804653461,0.04839868840677357,0.05539740825585052,0.06984402371648026,0.1453771391995688,0.024776254323316715,0.033498686160894756,3.7899204958900415e-05,0.00037758837533126714,1.2633068319633473e-05
Hämeenlinna,1.0,0.02677908348259141,0.00109213227906164,0.16224717137739722,0.0020313660390546503,0.011947927132934341,0.07118518194923769,0.12504914595255778,0.05202918177449653,0.037088812196933295,0.02186448822681403,0.016272770958018434,0.008540474422262025,0.03774409156437027,0.03503560351229741,0.07559739635664672,0.07229915687388057,0.1927395046087982,0.017758070857542267,0.03239264339696824,0.00010921322790616399,0.0,0.0
Joensuu,1.0,0.04700279127871796,0.0048798578985379945,0.15252483847670356,0.004313794382307588,0.005289765962015186,0.06841560773750269,0.10126681111046046,0.04776404911088989,0.03544728777497999,0.022759657238781206,0.01153598407214382,0.008627588764615175,0.03554488493295075,0.03478362710077883,0.06431652710273077,0.08842302512150846,0.21365969822958755,0.01864105717241514,0.03136772657180223,0.0002927914739122797,0.0006051023794187113,3.903886318830396e-05
Jyväskylä,1.0,0.03369703011062594,0.001961145482322603,0.14473470360699078,0.00443153868657428,0.006251828416022884,0.06713401883133065,0.11234871550388437,0.045929810494837096,0.03685003196342084,0.03666583597889331,0.009946583164487014,0.010260799843975167,0.052625876285308744,0.03978633265794806,0.05352518609211966,0.10115610067935814,0.19115209170793018,0.020294063471769257,0.029395512119012278,0.0011376810809053774,0.0,2.1670115826769096e-05
Kajaani,1.0,0.0586565752128666,0.027929743737402823,0.08679198716630332,0.005511908189708362,0.006457981983464275,0.0545843445353955,0.10678293776479783,0.05042984657151084,0.04047550491547036,0.017193862860433548,0.010982682736209946,0.008308995927769323,0.04055777220188392,0.051170252149232855,0.0835424293529678,0.07482209699313068,0.2163629632676566,0.020155485171321624,0.03644440788120604,0.0,0.0,0.0
Kemi,1.0,0.03306205493387589,0.015132248219735503,0.1961258053577484,0.007799253984401492,0.0058918277382163445,0.06680230586639539,0.10702780603594439,0.06718379111563241,0.03721600542556799,0.007799253984401492,0.008901322482197355,0.010130552729738895,0.036071549677856904,0.0378942014242116,0.042895896914208205,0.07201593760596812,0.20371312309257375,0.015089860969820278,0.02479654120040692,0.00033909799932180403,0.0,4.2387249915225503e-05
Kokkola,1.0,0.06485308142967437,0.0017939052636359507,0.21856124256324083,0.008265588809664381,0.0060629456378582134,0.0611290249330124,0.10786139243380717,0.05313592806212816,0.025841318860983696,0.01852945183704982,0.011966937644761342,0.004382578682047323,0.034765429856033425,0.02922476043417049,0.036105181888369135,0.07927244652345701,0.19839683909351016,0.010808846904945728,0.02870248421817521,2.2707661565012036e-05,0.0,0.0
Kotka,1.0,0.02187018084957241,0.0011215477358755082,0.13994812841721577,0.005011916444693678,0.00757044721715968,0.05919669143417917,0.10826440487873265,0.10353287536800786,0.03869339688770503,0.014404878732651059,0.00960325248843404,0.007219963549698584,0.043915603532875366,0.05754941819711201,0.06809897658769101,0.059757465302116924,0.20913360437403616,0.016472732370671525,0.02758306462918828,0.0,0.0,0.0
Kouvola,1.0,0.03622184267345558,0.0027391962875833844,0.145080725725887,0.004672746608230479,0.007315265379781509,0.07808320711546518,0.11369275885404918,0.06448390319358062,0.03792981212336051,0.01485611163030518,0.01121459185975315,0.008185363024072701,0.040669008410943897,0.04199026779671941,0.08962005736199284,0.06306596629177275,0.19003577068093197,0.018465405562179755,0.030517869227546648,0.0002900325480970642,0.0,3.222583867745158e-05
