Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
Forssa,1.0,0.08152119948366597,0.004766160262138814,0.22215602555191474,0.00337603018568166,0.008671763810280344,0.07500082745837884,0.10809916261212062,0.055572104723132426,0.03511733359812001,0.007943600436898023,0.011882302320193295,0.005262635289444941,0.03961870717902889,0.03627577532850098,0.0319398934233608,0.06937411048224275,0.16621983914209115,0.010723860589812333,0.02588289809022606,0.0001985900109224506,0.0,0.0
Helsinki,1.0,0.004747392640879472,0.00040377990950034553,0.0850612024433318,0.0063333871706546,0.0038656961827574065,0.07456689640199005,0.1343713345389363,0.06628874632295509,0.04213608839205573,0.0742756453197275,0.033885739552691294,0.012113397285010366,0.08979270866154242,0.049192307794143735,0.053967501674693726,0.0656347552564201,0.145910172870756,0.02515217869048218,0.032027028100433966,0.00013371072412962263,9.664240456893516e-05,3.044897678199327e-05
Hämeenlinna,1.0,0.02506484165558728,0.0010897757241559688,0.16231119635578997,0.00244109762210937,0.011878555393300058,0.08042544844271049,0.12630500642967676,0.047100106798020965,0.03820753688890826,0.021272422135524507,0.013840151696780802,0.008282295503585363,0.03905756195374992,0.04119352237309562,0.07347267932259541,0.0715546740480809,0.1859593295699745,0.019092870687212573,0.03103681262396199,6.538654344935812e-05,0.0,0.0
Joensuu,1.0,0.04169736817245744,0.00417540478754558,0.1618205520603072,0.0024561204632621058,0.005327892081845491,0.06937595646998809,0.10117326985206597,0.04534376239868503,0.037597536322243004,0.02352207674431786,0.010088987133707419,0.009541083338056642,0.03657730166827259,0.04300100134141964,0.05932475580494625,0.08575639063651307,0.21132082601220503,0.01968675017476242,0.028868862060496138,0.00011335940599671258,0.0004912240926524212,0.0
Jyväskylä,1.0,0.030828115574230857,0.0018929544650843509,0.14399975037963098,0.003713102989203919,0.0062197075281342955,0.07682066856655503,0.10834564100430595,0.04547251055686144,0.04092733967091715,0.040053668379339755,0.008185467934183429,0.010598464834730514,0.053158737753000646,0.03964803527967882,0.05214985542820294,0.09346202650136251,0.19329977326149814,0.020874503359474134,0.02823830424562644,0.0011336925093087596,0.0,3.120254612776403e-05
Kajaani,1.0,0.05504146136281697,0.03296879381484597,0.090934583183111,0.003284861595160838,0.004767055241757801,0.06617794335616713,0.1001482193646597,0.047830789568561474,0.03997916917037215,0.020390177462644713,0.009894644073228378,0.007370908945238954,0.04338420862877058,0.05576252854224252,0.08051916836918639,0.0685414413331731,0.21908424468212956,0.020510355325882305,0.030485117974602412,0.0,0.0,0.0
Kemi,1.0,0.02853701088311041,0.021143141978898397,0.19614521890836586,0.007435407493561519,0.006396942759823877,0.07722023760073107,0.10048184763645426,0.06413558195563679,0.03788319348674919,0.006313865581124865,0.007061560189415968,0.010675417462822962,0.03372933455179862,0.04041704743706904,0.04145551217080668,0.06766636205034476,0.2071529450859849,0.01657389715045277,0.023552380161169728,0.00211846805682479,0.0,0.0
Kokkola,1.0,0.054623245915449245,0.002305526613314416,0.2297767629519608,0.006805737214303133,0.005675142432773948,0.06668292358509388,0.10510097763195815,0.053514819659048085,0.027865836085925202,0.01749096632601033,0.01035270123478685,0.004943581103549181,0.034560730674588216,0.035137112327916824,0.029195947593606598,0.07464142410605422,0.202287791793212,0.011128599614267662,0.02755547673413288,2.2168525128023234e-05,0.0,0.0
Kotka,1.0,0.017241967974324833,0.000887705281846427,0.1538120113353136,0.004643381474273618,0.007272354808972652,0.06118337942572297,0.10078869200040971,0.09976441667520229,0.04042473283485268,0.01594455256239544,0.007374782341493393,0.006726074635528697,0.04220014339854553,0.058554406091023935,0.06333435760865853,0.05797398340673973,0.21974119976783094,0.01567141247567346,0.025709310662706136,0.0,0.0,3.414251084024719e-05
Kouvola,1.0,0.03329791002479632,0.0020931955044601164,0.15463884326796123,0.0037677519080282097,0.007052458699642546,0.07918719608411426,0.10462757221524491,0.06360094032782662,0.039158857437284644,0.010498180530061508,0.00853379705664509,0.008147360963513992,0.042185940166811584,0.04424693266351077,0.09364634656876952,0.05468070717805043,0.1991433999935594,0.02128618812997134,0.02949795510900718,0.00016101503880462434,0.0,0.0
Kuopio,1.0,0.052431821038079675,0.0034812115118763353,0.10913660927485233,0.004423777805705668,0.0052281010431066985,0.07869800175945708,0.10657282895563655,0.0526831720497675,0.03721251728038205,0.024217669976121653,0.01651376146788991,0.008608772150307906,0.04667588287042855,0.047718989568933015,0.049553851954254116,0.08152570064094508,0.22821415106195803,0.017845921829835364,0.028025637803192158,8.797285409073771e-05,0.0,3.770265175317331e-05
Lahti,1.0,0.03031918529150434,0.0009705419998633039,0.19067732895905953,0.0038958376050850932,0.0073542478299501056,0.08540769598797075,0.11850181122274622,0.04957965962681977,0.0418973412617046,0.022349805208119744,0.01096302371676577,0.009295331829676713,0.04331898024741986,0.046955095345499284,0.030756612671724422,0.06285284669537283,0.19922083247898298,0.018891394983254733,0.02586289385551227,1.366960563187752e-05,0.0,5.467842252751008e-05
Lappeenranta,1.0,0.024384832146264617,0.0022853846324524616,0.16996161441345492,0.004770463067740575,0.003927311455767823,0.07240009762808139,0.11715369766358251,0.05873216623399676,0.04641771505913155,0.02185537731034636,0.009829372739577093,0.010495018749029266,0.043732942821007786,0.05591426479398256,0.060840045263928645,0.07865717011693181,0.1753755352903326,0.015886751425591872,0.026670216778717077,0.0,0.0,2.2188200315072443e-05
Mikkeli,1.0,0.05359538746056496,0.0015592704064981689,0.13953657033034775,0.006744751060666497,0.005801936396272256,0.06534430866301628,0.10726329912608333,0.04953403198317438,0.03753127606338615,0.016245421909562317,0.009283098234035609,0.009283098234035609,0.03720491714109584,0.03060521449033615,0.06276969938717047,0.07415599956485477,0.23214998005584364,0.01969032164484897,0.03129419443739348,0.009718243463756028,0.0,0.0
Oulu,1.0,0.022502272137107246,0.002978122565567385,0.13576830693326408,0.004422552583744482,0.004893209555959491,0.08603284861075046,0.10185666060763438,0.0521455466112698,0.03482861594391067,0.04097961568423786,0.014403726304855882,0.009072318878213451,0.06430959491041288,0.04350331082835627,0.046051350298623735,0.08783432874578032,0.2051739807842119,0.015888730199948065,0.02672195533627629,8.926252921319138e-05,0.0,0.0
Pieksämäki,1.0,0.05725887398485263,0.0009124920156948627,0.21676247832831463,0.002098731636098184,0.005976822702801351,0.07377497946892965,0.0985947622958299,0.046765215804361715,0.03075098092891687,0.006433068710648782,0.007299936125558902,0.008851172552240168,0.0335340815767862,0.03472032119718953,0.03312346016972351,0.06277945067980654,0.2381147914955744,0.011223651793046812,0.026553517656720503,9.124920156948626e-05,0.0,4.562460078474313e-05
Pori,1.0,0.017905248490478403,0.0009289363678588017,0.17986530422666047,0.006665118439386902,0.006711565257779842,0.07944728286112401,0.11267998142127264,0.053855085926614026,0.037900603808639105,0.021737111007895958,0.010195076637250349,0.008639108221086855,0.04509986065954482,0.04242916860195076,0.041755689735253135,0.05849976776590803,0.23121226196005573,0.017254993032977242,0.026567580120761727,0.0,0.0,6.967022758941013e-05
Rovaniemi,1.0,0.03565497458608022,0.02584167882844346,0.052865985607166224,0.006818982436716824,0.004504051129787127,0.0748829953198128,0.10751849428815863,0.055331890694982636,0.06740979316592019,0.01685873886568366,0.007724825122037139,0.010291379397111368,0.04393337023803533,0.05747068592421116,0.07921091037189874,0.07908509888782649,0.2127975441598309,0.024608726284535254,0.028936641336621206,5.032459362890645e-05,0.0,2.5162296814453225e-05
