"INTERNATIONAL TRADE IN GOODS BY REGION, CC BY 4.0"

,,,"Cum. statistical value (euro) from the beginning of the year","Cum. change %","Share of total%","Share of enterprises in industrial sector %","Share of enterprises in trade sector %","Share of enterprises in other industries %","Share of private domestic enterprises %","Share of state or municipal enterprises %","Share of foreign-owned enterprises %","Number of places of enterprises","Number of enterprise places engaged in Extra-EU trade"
"201912","12 Keski-Suomi","Imports by countries of origin",1019000000,10.4,1.5,48.3,42.5,9.2,39.3,2.9,57.7,1358,500
"201912","12 Keski-Suomi","Exports by countries of destination",2687000000,-8.1,4.1,72.1,25.7,2.3,56.2,1.1,42.7,596,361
"201912","13 Etelä-Pohjanmaa","Imports by countries of origin",629000000,9.5,1.0,52.5,39.9,7.6,86.9,0.4,12.8,1507,447
"201912","13 Etelä-Pohjanmaa","Exports by countries of destination",649000000,2.7,1.0,90.5,4.6,5.0,65.7,0.4,33.9,609,306
"201912","14 Pohjanmaa","Imports by countries of origin",1335000000,5.2,2.0,63.6,22.4,14.0,64.8,0.5,34.8,1797,505
"201912","14 Pohjanmaa","Exports by countries of destination",3550000000,1.2,5.5,94.3,4.1,1.6,65.3,0,34.7,744,384
"201912","15 Keski-Pohjanmaa","Imports by countries of origin",1802000000,-24.5,2.7,20.1,79.0,0.9,7.4,0.1,92.6,485,156
"201912","15 Keski-Pohjanmaa","Exports by countries of destination",1715000000,-8.0,2.6,46.8,52.5,0.7,8.0,0,92.0,202,102
"201912","16 Pohjois-Pohjanmaa","Imports by countries of origin",2190000000,5.6,3.3,73.6,18.9,7.5,56.9,0.7,42.5,2396,779
"201912","16 Pohjois-Pohjanmaa","Exports by countries of destination",2282000000,-1.6,3.5,92.0,3.3,4.7,64.1,0,35.9,933,473
"201912","17 Kainuu","Imports by countries of origin",98000000,-4.2,0.1,35.7,12.7,51.6,36.0,43.6,20.4,283,94
"201912","17 Kainuu","Exports by countries of destination",440000000,0.1,0.7,26.6,58.1,15.3,24.3,0.3,75.4,94,53
"201912","18 Lappi","Imports by countries of origin",1971000000,-1.0,3.0,89.8,4.3,5.9,79.7,0.3,20.0,1152,277
"201912","18 Lappi","Exports by countries of destination",3818000000,-11.8,5.9,89.8,0.8,9.3,82.0,0,17.9,518,196
"201912","19 Ahvenanmaa","Imports by countries of origin",398000000,63.7,0.6,8.6,19.6,71.7,67.7,25.7,6.6,633,145
"201912","19 Ahvenanmaa","Exports by countries of destination",104000000,11.0,0.2,74.5,14.0,11.5,69.3,0.2,30.5,182,57
"201912","20 Unknown","Imports by countries of origin",2056000000,7.7,3.1,19.1,66.2,14.7,5.1,0,94.9,828,110
"201912","20 Unknown","Exports by countries of destination",806000000,0.7,1.2,27.8,66.9,5.3,11.3,0,88.7,261,84
"201912","21 Total","Imports by countries of origin",65851000000,-1.1,100.0,43.9,46.5,9.5,54.1,3.5,42.4,41758,15348
"201912","21 Total","Exports by countries of destination",65054000000,2.2,100.0,79.2,14.4,6.4,57.1,0.6,42.3,18450,10350
"201812","1 Uusimaa","Imports by countries of origin",38838000000,5.5,58.3,33.7,56.8,9.5,53.1,5.1,41.8,15258,6671
"201812","1 Uusimaa","Exports by countries of destination",18717000000,2.5,29.4,66.6,22.1,11.3,56.5,1.1,42.4,7336,4254
"201812","2 Varsinais-Suomi","Imports by countries of origin",5232000000,16.0,7.9,72.7,24.9,2.4,70.3,0.2,29.4,3818,1438
"201812","2 Varsinais-Suomi","Exports by countries of destination",6370000000,10.5,10.0,90.0,8.1,1.9,59.7,0,40.3,1729,946
"201812","3 Satakunta","Imports by countries of origin",1694000000,-3.0,2.5,84.6,7.7,7.7,30.7,0.4,68.9,1457,470
"201812","3 Satakunta","Exports by countries of destination",4246000000,2.3,6.7,61.9,35.1,2.9,28.4,0.2,71.5,621,345
"201812","4 Kanta-Häme","Imports by countries of origin",937000000,16.1,1.4,47.3,48.8,3.9,55.3,1.8,43.0,1069,427
"201812","4 Kanta-Häme","Exports by countries of destination",1396000000,-4.3,2.2,90.7,3.0,6.2,27.4,1.6,71.0,486,240
"201812","5 Pirkanmaa","Imports by countries of origin",3700000000,5.8,5.6,51.9,39.2,8.8,51.3,6.5,42.3,3519,1416
"201812","5 Pirkanmaa","Exports by countries of destination",4715000000,-1.3,7.4,92.8,3.6,3.6,58.1,0.7,41.3,1676,959
"201812","6 Päijät-Häme","Imports by countries of origin",1231000000,8.3,1.8,68.5,27.2,4.3,59.5,1.2,39.3,1408,550
"201812","6 Päijät-Häme","Exports by countries of destination",1946000000,7.0,3.1,95.1,3.7,1.2,88.6,0,11.4,699,416
"201812","7 Kymenlaakso","Imports by countries of origin",1772000000,-11.5,2.7,44.5,15.7,39.9,20.3,0.1,79.7,964,374
"201812","7 Kymenlaakso","Exports by countries of destination",4020000000,18.7,6.3,87.3,3.9,8.7,69.7,0,30.3,490,315
"201812","8 Etelä-Karjala","Imports by countries of origin",530000000,34.9,0.8,76.9,18.2,4.9,82.8,0.2,16.9,699,286
"201812","8 Etelä-Karjala","Exports by countries of destination",2490000000,14.4,3.9,95.1,1.7,3.3,88.2,0,11.8,459,351
"201812","9 Etelä-Savo","Imports by countries of origin",285000000,2.9,0.4,69.3,21.7,9.0,50.0,0.6,49.4,651,214
"201812","9 Etelä-Savo","Exports by countries of destination",392000000,-4.2,0.6,94.5,2.6,2.9,54.3,0,45.7,315,173
"201812","10 Pohjois-Savo","Imports by countries of origin",526000000,-0.9,0.8,65.5,28.5,6.0,69.9,1.0,29.2,1070,397
"201812","10 Pohjois-Savo","Exports by countries of destination",1507000000,-5.2,2.4,96.5,2.5,1.0,76.0,0,24.0,456,259
"201812","11 Pohjois-Karjala","Imports by countries of origin",368000000,12.9,0.6,54.5,34.3,11.1,66.9,5.6,27.5,754,268
"201812","11 Pohjois-Karjala","Exports by countries of destination",972000000,8.1,1.5,97.2,0.8,2.0,68.8,0,31.2,358,218
"201812","12 Keski-Suomi","Imports by countries of origin",923000000,6.1,1.4,52.4,37.5,10.1,40.9,3.6,55.5,1337,517
"201812","12 Keski-Suomi","Exports by countries of destination",2923000000,22.1,4.6,73.1,24.2,2.7,60.9,1.3,37.9,607,356
"201812","13 Etelä-Pohjanmaa","Imports by countries of origin",575000000,4.4,0.9,55.3,39.5,5.2,83.9,0.4,15.7,1454,445
"201812","13 Etelä-Pohjanmaa","Exports by countries of destination",632000000,3.4,1.0,90.8,4.0,5.2,65.3,0.2,34.5,597,318
"201812","14 Pohjanmaa","Imports by countries of origin",1269000000,-8.4,1.9,71.6,21.4,7.0,68.2,0.9,30.8,1662,520
"201812","14 Pohjanmaa","Exports by countries of destination",3508000000,0,5.5,94.9,3.8,1.3,67.2,0,32.8,758,382
"201812","15 Keski-Pohjanmaa","Imports by countries of origin",2387000000,13.7,3.6,39.4,60.1,0.5,5.0,0,95.0,478,173
"201812","15 Keski-Pohjanmaa","Exports by countries of destination",1865000000,15.7,2.9,64.2,35.1,0.7,7.0,0,93.0,213,107
"201812","16 Pohjois-Pohjanmaa","Imports by countries of origin",2073000000,15.8,3.1,80.1,15.0,4.9,53.4,0.3,46.4,2159,734
"201812","16 Pohjois-Pohjanmaa","Exports by countries of destination",2319000000,23.5,3.6,94.2,2.1,3.7,62.4,0,37.6,911,477
"201812","17 Kainuu","Imports by countries of origin",102000000,12.1,0.2,35.9,6.8,57.2,23.2,52.8,24.1,303,83
"201812","17 Kainuu","Exports by countries of destination",439000000,23.9,0.7,27.5,59.7,12.8,25.1,0,74.9,107,61
"201812","18 Lappi","Imports by countries of origin",1992000000,13.6,3.0,94.8,3.2,2.1,85.5,0.1,14.4,1148,291
"201812","18 Lappi","Exports by countries of destination",4329000000,10.6,6.8,90.3,0.8,9.0,84.5,0,15.5,551,210
"201812","19 Ahvenanmaa","Imports by countries of origin",243000000,-30.0,0.4,12.8,36.7,50.5,74.4,14.0,11.6,600,146
"201812","19 Ahvenanmaa","Exports by countries of destination",94000000,-2.5,0.1,70.0,18.0,12.0,69.0,0.4,30.6,168,49
"201812","20 Unknown","Imports by countries of origin",1909000000,24.0,2.9,15.6,68.4,16.0,2.6,0,97.4,752,85
"201812","20 Unknown","Exports by countries of destination",801000000,21.1,1.3,20.6,63.9,15.5,13.6,0,86.4,250,83
"201812","21 Total","Imports by countries of origin",66585000000,6.6,100.0,45.2,45.7,9.0,51.3,3.2,45.5,40560,15505
"201812","21 Total","Exports by countries of destination",63682000000,6.6,100.0,79.8,14.1,6.2,59.1,0.5,40.4,18787,10519
"201712","1 Uusimaa","Imports by countries of origin",36814000000,6.9,58.9,32.0,57.0,11.0,36.3,21.9,41.8,15478,6863
"201712","1 Uusimaa","Exports by countries of destination",18255000000,15.2,30.6,69.2,17.4,13.4,35.8,26.9,37.3,7239,4166
"201712","2 Varsinais-Suomi","Imports by countries of origin",4510000000,48.7,7.2,68.8,28.3,2.9,71.7,0.3,28.0,3945,1494
"201712","2 Varsinais-Suomi","Exports by countries of destination",5763000000,44.1,9.7,90.6,7.2,2.2,54.6,0.2,45.1,1684,923
"201712","3 Satakunta","Imports by countries of origin",1747000000,40.1,2.8,66.2,7.7,26.1,52.7,0.3,46.9,1537,494
"201712","3 Satakunta","Exports by countries of destination",4149000000,34.0,6.9,62.7,33.8,3.5,34.6,0.2,65.3,613,328
"201712","4 Kanta-Häme","Imports by countries of origin",807000000,11.0,1.3,48.4,46.6,5.0,57.2,2.3,40.5,1106,406
"201712","4 Kanta-Häme","Exports by countries of destination",1459000000,6.7,2.4,92.0,2.7,5.3,29.5,1.5,68.9,474,240
"201712","5 Pirkanmaa","Imports by countries of origin",3497000000,5.4,5.6,51.5,40.6,7.9,56.9,5.2,37.9,3679,1513
"201712","5 Pirkanmaa","Exports by countries of destination",4775000000,15.4,8.0,94.2,3.2,2.6,63.7,0.2,36.1,1715,977
"201712","6 Päijät-Häme","Imports by countries of origin",1137000000,5.9,1.8,66.6,28.3,5.1,61.0,0.9,38.1,1485,606
"201712","6 Päijät-Häme","Exports by countries of destination",1818000000,8.9,3.0,95.7,3.3,1.0,88.7,0,11.3,707,412
"201712","7 Kymenlaakso","Imports by countries of origin",2002000000,130.9,3.2,66.2,12.2,21.6,16.9,0.1,83.0,992,378
"201712","7 Kymenlaakso","Exports by countries of destination",3387000000,-27.3,5.7,84.5,5.4,10.1,74.8,0,25.2,523,348
"201712","8 Etelä-Karjala","Imports by countries of origin",393000000,16.3,0.6,67.7,25.1,7.2,85.2,0.5,14.3,730,294
"201712","8 Etelä-Karjala","Exports by countries of destination",2177000000,55.9,3.6,94.3,1.8,3.9,88.3,0,11.7,497,379
"201712","9 Etelä-Savo","Imports by countries of origin",277000000,6.5,0.4,64.7,23.5,11.8,57.3,0.6,42.1,711,231
"201712","9 Etelä-Savo","Exports by countries of destination",410000000,-2.8,0.7,95.5,2.9,1.7,57.6,0,42.3,330,186
"201712","10 Pohjois-Savo","Imports by countries of origin",531000000,3.0,0.8,57.9,34.6,7.5,74.1,1.2,24.7,1155,416
"201712","10 Pohjois-Savo","Exports by countries of destination",1591000000,35.2,2.7,96.5,2.9,0.6,77.3,0,22.7,446,260
"201712","11 Pohjois-Karjala","Imports by countries of origin",326000000,9.0,0.5,54.5,31.2,14.4,77.3,0.9,21.8,724,274
"201712","11 Pohjois-Karjala","Exports by countries of destination",899000000,19.2,1.5,98.6,0.7,0.7,78.1,0,21.9,359,221
"201712","12 Keski-Suomi","Imports by countries of origin",870000000,12.2,1.4,50.1,37.7,12.2,48.5,4.2,47.4,1363,530
"201712","12 Keski-Suomi","Exports by countries of destination",2394000000,10.9,4.0,72.6,24.8,2.6,57.7,1.2,41.1,613,358
"201712","13 Etelä-Pohjanmaa","Imports by countries of origin",551000000,9.4,0.9,54.4,38.3,7.3,85.6,0.4,14.0,1492,458
"201712","13 Etelä-Pohjanmaa","Exports by countries of destination",612000000,9.1,1.0,92.2,3.3,4.5,68.0,0,32.0,610,320
"201712","14 Pohjanmaa","Imports by countries of origin",1385000000,0.2,2.2,62.1,17.8,20.0,62.3,0.6,37.1,1814,529
"201712","14 Pohjanmaa","Exports by countries of destination",3507000000,12.3,5.9,94.8,2.9,2.3,71.2,0,28.8,753,386
"201712","15 Keski-Pohjanmaa","Imports by countries of origin",2100000000,48.4,3.4,28.9,70.4,0.7,8.0,0,92.0,500,176
"201712","15 Keski-Pohjanmaa","Exports by countries of destination",1611000000,-10.8,2.7,59.0,40.4,0.6,8.4,0,91.6,195,108
"201712","16 Pohjois-Pohjanmaa","Imports by countries of origin",1790000000,26.0,2.9,79.9,13.5,6.6,55.1,0.7,44.2,2134,783
"201712","16 Pohjois-Pohjanmaa","Exports by countries of destination",1877000000,40.4,3.1,95.2,1.2,3.6,62.5,0,37.5,860,454
"201712","17 Kainuu","Imports by countries of origin",91000000,23.4,0.1,43.0,10.7,46.3,31.8,38.6,29.6,286,82
"201712","17 Kainuu","Exports by countries of destination",354000000,68.3,0.6,30.3,45.3,24.3,28.7,9.8,61.5,108,65
"201712","18 Lappi","Imports by countries of origin",1754000000,10.0,2.8,93.5,3.6,2.9,85.2,0.1,14.6,1216,329
"201712","18 Lappi","Exports by countries of destination",3915000000,10.2,6.6,89.0,0.8,10.2,82.7,0,17.3,594,229
"201712","19 Ahvenanmaa","Imports by countries of origin",347000000,-27.7,0.6,10.4,32.8,56.8,82.3,8.8,8.9,542,125
"201712","19 Ahvenanmaa","Exports by countries of destination",96000000,15.1,0.2,71.6,13.7,14.7,72.4,0.1,27.5,168,51
"201712","20 Unknown","Imports by countries of origin",1539000000,24.3,2.5,14.8,70.6,14.6,1.8,0,98.1,704,95
"201712","20 Unknown","Exports by countries of destination",661000000,28.9,1.1,28.3,66.7,5.0,0.8,0,99.2,238,70
"201712","21 Total","Imports by countries of origin",62469000000,13.6,100.0,43.0,46.4,10.6,43.1,13.5,43.4,41593,16076
"201712","21 Total","Exports by countries of destination",59711000000,15.1,100.0,80.4,12.6,7.0,53.2,8.5,38.2,18726,10481
"201612","1 Uusimaa","Imports by countries of origin",34441000000,2.9,62.6,30.2,59.6,10.2,37.7,19.9,42.3,15034,6895
"201612","1 Uusimaa","Exports by countries of destination",15850000000,-6.3,30.6,68.8,19.5,11.7,35.8,25.7,38.4,7104,4214
"201612","2 Varsinais-Suomi","Imports by countries of origin",3033000000,-11.6,5.5,61.6,34.2,4.2,68.1,0.4,31.5,3869,1476
"201612","2 Varsinais-Suomi","Exports by countries of destination",4000000000,-13.9,7.7,86.3,11.1,2.6,48.2,0,51.7,1661,952
"201612","3 Satakunta","Imports by countries of origin",1247000000,3.3,2.3,75.8,10.2,14.1,43.3,0.6,56.1,1487,503
"201612","3 Satakunta","Exports by countries of destination",3098000000,-7.5,6.0,82.1,13.7,4.3,42.6,0.2,57.2,604,324
"201612","4 Kanta-Häme","Imports by countries of origin",727000000,0.7,1.3,53.2,42.8,4.0,56.8,1.9,41.4,1069,405
"201612","4 Kanta-Häme","Exports by countries of destination",1367000000,6.0,2.6,90.8,4.2,5.0,33.4,1.6,65.0,477,224
"201612","5 Pirkanmaa","Imports by countries of origin",3318000000,5.0,6.0,49.5,40.0,10.4,56.1,8.2,35.6,3503,1514
"201612","5 Pirkanmaa","Exports by countries of destination",4138000000,-0.6,8.0,94.0,3.5,2.5,62.1,0.5,37.4,1632,943
"201612","6 Päijät-Häme","Imports by countries of origin",1074000000,-2.8,2.0,67.3,29.0,3.7,63.8,0.7,35.4,1441,575
"201612","6 Päijät-Häme","Exports by countries of destination",1670000000,-1.6,3.2,94.3,4.2,1.5,88.9,0,11.1,702,410
"201612","7 Kymenlaakso","Imports by countries of origin",867000000,-3.4,1.6,45.9,18.3,35.8,35.1,0.1,64.8,995,368
"201612","7 Kymenlaakso","Exports by countries of destination",4661000000,-2.2,9.0,91.3,2.9,5.8,85.0,0,15.0,493,319
"201612","8 Etelä-Karjala","Imports by countries of origin",338000000,-10.3,0.6,72.7,22.1,5.1,88.7,0.4,11.0,727,283
"201612","8 Etelä-Karjala","Exports by countries of destination",1397000000,9.3,2.7,92.3,2.4,5.4,85.3,0,14.7,455,358
"201612","9 Etelä-Savo","Imports by countries of origin",260000000,5.5,0.5,68.5,24.8,6.7,58.0,0.5,41.5,712,232
"201612","9 Etelä-Savo","Exports by countries of destination",422000000,8.9,0.8,93.6,2.1,4.3,61.0,0,39.0,295,171
"201612","10 Pohjois-Savo","Imports by countries of origin",515000000,0.9,0.9,60.7,34.2,5.0,71.7,1.2,27.1,1084,376
"201612","10 Pohjois-Savo","Exports by countries of destination",1177000000,3.7,2.3,96.1,3.2,0.7,84.4,0,15.6,456,274
"201612","11 Pohjois-Karjala","Imports by countries of origin",299000000,9.4,0.5,57.0,34.9,8.1,73.0,1.0,26.1,713,268
"201612","11 Pohjois-Karjala","Exports by countries of destination",755000000,-1.5,1.5,97.6,1.2,1.2,75.8,0,24.2,332,198
"201612","12 Keski-Suomi","Imports by countries of origin",775000000,2.8,1.4,53.4,39.9,6.7,50.1,4.0,45.9,1371,494
"201612","12 Keski-Suomi","Exports by countries of destination",2159000000,1.1,4.2,73.9,24.0,2.0,59.3,1.5,39.1,620,361
"201612","13 Etelä-Pohjanmaa","Imports by countries of origin",503000000,-6.0,0.9,57.6,37.4,5.0,83.3,0.3,16.4,1445,430
"201612","13 Etelä-Pohjanmaa","Exports by countries of destination",561000000,1.4,1.1,92.3,3.4,4.3,67.5,0.3,32.3,601,298
"201612","14 Pohjanmaa","Imports by countries of origin",1382000000,5.5,2.5,60.2,15.3,24.5,55.8,0.5,43.7,1749,533
"201612","14 Pohjanmaa","Exports by countries of destination",3122000000,-0.2,6.0,95.6,3.0,1.4,69.5,0,30.5,743,378
"201612","15 Keski-Pohjanmaa","Imports by countries of origin",1415000000,-6.7,2.6,19.6,79.8,0.5,9.9,0.1,90.0,500,174
"201612","15 Keski-Pohjanmaa","Exports by countries of destination",1806000000,4.5,3.5,33.8,65.7,0.6,6.6,0,93.4,219,110
"201612","16 Pohjois-Pohjanmaa","Imports by countries of origin",1421000000,-1.6,2.6,80.3,14.2,5.5,56.2,0.6,43.2,1973,751
"201612","16 Pohjois-Pohjanmaa","Exports by countries of destination",1337000000,-4.2,2.6,91.6,3.4,5.0,53.6,0,46.4,847,476
"201612","17 Kainuu","Imports by countries of origin",74000000,44.7,0.1,47.0,7.7,45.3,30.3,33.0,36.6,283,81
"201612","17 Kainuu","Exports by countries of destination",211000000,45.5,0.4,48.8,1.7,49.6,45.0,27.2,27.8,91,57
"201612","18 Lappi","Imports by countries of origin",1595000000,-5.9,2.9,94.6,3.0,2.4,85.3,0.1,14.5,1200,318
"201612","18 Lappi","Exports by countries of destination",3553000000,-8.3,6.8,89.7,1.8,8.6,84.5,0,15.5,651,237
"201612","19 Ahvenanmaa","Imports by countries of origin",480000000,-14.1,0.9,7.2,23.9,68.8,71.5,23.3,5.2,534,123
"201612","19 Ahvenanmaa","Exports by countries of destination",83000000,-19.3,0.2,68.6,12.7,18.7,77.2,0.1,22.6,152,45
"201612","20 Unknown","Imports by countries of origin",1238000000,1.0,2.3,10.9,74.0,15.1,1.4,0,98.6,664,79
"201612","20 Unknown","Exports by countries of destination",513000000,19.6,1.0,20.5,74.1,5.4,12.0,0,88.0,180,54
"201612","21 Total","Imports by countries of origin",55003000000,0.9,100.0,39.9,49.7,10.4,44.0,13.4,42.6,40353,15878
"201612","21 Total","Exports by countries of destination",51878000000,-3.7,100.0,80.6,13.0,6.4,54.6,8.1,37.3,18315,10403
"201512","1 Uusimaa","Imports by countries of origin",33474000000,-9.2,61.4,31.4,59.4,9.2,36.2,20.9,42.8,14626,6781
"201512","1 Uusimaa","Exports by countries of destination",16912000000,-13.4,31.4,66.8,21.0,12.1,39.7,24.2,36.0,7133,4440
"201512","2 Varsinais-Suomi","Imports by countries of origin",3431000000,13.6,6.3,69.8,27.4,2.7,71.2,0.6,28.2,3800,1428
"201512","2 Varsinais-Suomi","Exports by countries of destination",4647000000,22.1,8.6,87.0,10.2,2.8,54.4,0,45.6,1669,954
"201512","3 Satakunta","Imports by countries of origin",1207000000,-15.4,2.2,77.3,9.8,12.9,46.4,0.6,53.0,1480,474
"201512","3 Satakunta","Exports by countries of destination",3348000000,-13.1,6.2,79.0,13.2,7.8,37.9,0.2,61.9,631,350
"201512","4 Kanta-Häme","Imports by countries of origin",722000000,4.9,1.3,48.3,47.7,4.0,55.7,2.4,41.9,1086,411
"201512","4 Kanta-Häme","Exports by countries of destination",1289000000,-12.4,2.4,89.5,5.4,5.1,31.6,2.3,66.1,491,243
"201512","5 Pirkanmaa","Imports by countries of origin",3159000000,4.3,5.8,49.5,37.4,13.2,56.7,11.2,32.1,3352,1410
"201512","5 Pirkanmaa","Exports by countries of destination",4161000000,0.9,7.7,94.9,3.2,2.0,64.5,0.8,34.7,1663,1002
"201512","6 Päijät-Häme","Imports by countries of origin",1105000000,8.8,2.0,64.0,32.1,3.9,63.4,1.1,35.5,1422,554
"201512","6 Päijät-Häme","Exports by countries of destination",1697000000,2.6,3.2,93.6,5.1,1.3,87.4,0,12.6,706,421
"201512","7 Kymenlaakso","Imports by countries of origin",898000000,7.6,1.6,44.7,21.6,33.7,33.8,0.2,66.0,982,357
"201512","7 Kymenlaakso","Exports by countries of destination",4766000000,-2.5,8.8,91.9,2.9,5.2,84.0,0,16.0,504,325
"201512","8 Etelä-Karjala","Imports by countries of origin",377000000,-16.9,0.7,74.9,20.8,4.3,90.2,0.4,9.4,698,281
"201512","8 Etelä-Karjala","Exports by countries of destination",1277000000,-2.4,2.4,89.6,2.7,7.7,82.7,0,17.3,452,365
"201512","9 Etelä-Savo","Imports by countries of origin",246000000,3.5,0.5,64.9,26.9,8.2,58.7,0.6,40.7,701,216
"201512","9 Etelä-Savo","Exports by countries of destination",387000000,-3.1,0.7,92.9,3.8,3.3,59.4,0,40.5,304,175
"201512","10 Pohjois-Savo","Imports by countries of origin",511000000,0.8,0.9,59.1,36.4,4.5,70.2,1.3,28.5,1077,384
"201512","10 Pohjois-Savo","Exports by countries of destination",1135000000,3.8,2.1,96.5,2.9,0.6,79.8,0,20.2,442,259
"201512","11 Pohjois-Karjala","Imports by countries of origin",274000000,7.0,0.5,62.7,30.5,6.7,71.0,1.3,27.8,728,248
"201512","11 Pohjois-Karjala","Exports by countries of destination",766000000,-4.7,1.4,97.1,0.7,2.1,74.3,0,25.7,329,216
"201512","12 Keski-Suomi","Imports by countries of origin",754000000,5.9,1.4,52.7,39.9,7.4,50.3,4.6,45.1,1346,502
"201512","12 Keski-Suomi","Exports by countries of destination",2135000000,12.2,4.0,75.6,22.8,1.6,58.8,1.8,39.5,596,351
"201512","13 Etelä-Pohjanmaa","Imports by countries of origin",535000000,3.3,1.0,59.7,37.0,3.3,86.1,0.4,13.5,1437,459
"201512","13 Etelä-Pohjanmaa","Exports by countries of destination",553000000,-6.8,1.0,90.8,3.4,5.8,68.9,0.2,30.8,624,318
"201512","14 Pohjanmaa","Imports by countries of origin",1310000000,20.0,2.4,78.9,17.0,4.1,62.0,0.4,37.5,1717,516
"201512","14 Pohjanmaa","Exports by countries of destination",3129000000,-4.2,5.8,94.4,4.4,1.2,69.3,0,30.7,725,369
"201512","15 Keski-Pohjanmaa","Imports by countries of origin",1517000000,11.6,2.8,18.5,81.1,0.4,8.6,0,91.3,502,173
"201512","15 Keski-Pohjanmaa","Exports by countries of destination",1729000000,6.9,3.2,36.7,62.6,0.7,6.7,0,93.3,227,120
"201512","16 Pohjois-Pohjanmaa","Imports by countries of origin",1443000000,-4.5,2.6,81.8,12.9,5.2,50.3,0.7,49.0,1887,715
"201512","16 Pohjois-Pohjanmaa","Exports by countries of destination",1396000000,-11.2,2.6,92.8,2.9,4.4,48.8,0,51.1,846,482
"201512","17 Kainuu","Imports by countries of origin",51000000,5.7,0.1,61.0,13.5,25.5,73.7,13.4,12.9,299,85
"201512","17 Kainuu","Exports by countries of destination",145000000,0.5,0.3,67.0,2.3,30.6,62.3,0,37.7,108,63
"201512","18 Lappi","Imports by countries of origin",1695000000,-11.0,3.1,95.6,2.5,1.8,85.9,1.4,12.7,1176,278
"201512","18 Lappi","Exports by countries of destination",3875000000,17.7,7.2,93.4,1.0,5.6,86.0,0,14.0,656,252
"201512","19 Ahvenanmaa","Imports by countries of origin",559000000,-1.1,1.0,7.1,14.7,78.1,68.8,23.6,7.6,568,130
"201512","19 Ahvenanmaa","Exports by countries of destination",103000000,20.9,0.2,53.2,22.6,24.3,83.9,0,16.1,159,53
"201512","20 Unknown","Imports by countries of origin",1226000000,-29.4,2.2,8.3,80.6,11.1,1.7,0,98.3,632,87
"201512","20 Unknown","Exports by countries of destination",429000000,-25.8,0.8,3.8,83.8,12.3,12.1,0,87.9,228,74
"201512","21 Total","Imports by countries of origin",54493000000,-5.7,100.0,41.1,49.7,9.2,43.7,14.1,42.2,39516,15489
"201512","21 Total","Exports by countries of destination",53880000000,-3.7,100.0,80.1,13.4,6.5,55.7,7.8,36.4,18493,10832
