"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202103","C 19-22 Chemical industry products","Imports by countries of origin",2786292546,-2.8,17.2,100.0,2786292546,-2.8,17.2,100.0
"202103","C 19-22 Chemical industry products","Exports by countries of destination",2921298198,2.8,19.4,100.0,2921298198,2.8,19.4,100.0
"202103","C 24-25 Metals and metal products","Imports by countries of origin",1527346996,13.9,9.4,100.0,1527346996,13.9,9.4,100.0
"202103","C 24-25 Metals and metal products","Exports by countries of destination",2619600129,7.9,17.4,100.0,2619600129,7.9,17.4,100.0
"202103","C 26-27 Electrical and electronics products","Imports by countries of origin",2293985355,5.7,14.2,100.0,2293985355,5.7,14.2,100.0
"202103","C 26-27 Electrical and electronics products","Exports by countries of destination",1745231567,0.5,11.6,100.0,1745231567,0.5,11.6,100.0
"202103","C 28 Machinery and equipment","Imports by countries of origin",1508394334,-2.9,9.3,100.0,1508394334,-2.9,9.3,100.0
"202103","C 28 Machinery and equipment","Exports by countries of destination",2077597868,-1.3,13.8,100.0,2077597868,-1.3,13.8,100.0
"202103","C 29-30 Vehicles","Imports by countries of origin",1947358351,2.0,12.0,100.0,1947358351,2.0,12.0,100.0
"202103","C 29-30 Vehicles","Exports by countries of destination",1008362771,-2.5,6.7,100.0,1008362771,-2.5,6.7,100.0
"202103","D Electricity, gas, heat, cooling","Imports by countries of origin",292087236,95.2,1.8,100.0,292087236,95.2,1.8,100.0
"202103","D Electricity, gas, heat, cooling","Exports by countries of destination",64697440,42.9,0.4,100.0,64697440,42.9,0.4,100.0
"202103","ZZ Other products","Imports by countries of origin",5788563210,2.3,35.8,100.0,5788563210,2.3,35.8,100.0
"202103","ZZ Other products","Exports by countries of destination",1902194329,5.3,12.6,100.0,1902194329,5.3,12.6,100.0
"202103","X Unspecified","Imports by countries of origin",712874387,-8.3,4.4,100.0,712874387,-8.3,4.4,100.0
"202103","X Unspecified","Exports by countries of destination",284784351,-13.3,1.9,100.0,284784351,-13.3,1.9,100.0
"202012","TOTAL In total","Imports by countries of origin",15546627933,-4.7,100.0,100.0,59768161062,-9.2,100.0,100.0
"202012","TOTAL In total","Exports by countries of destination",16206445591,-2.0,100.0,100.0,57439961440,-11.7,100.0,100.0
"202012","A Agricultural, forestry and fishery products","Imports by countries of origin",432642590,-9.5,2.8,100.0,1814785349,-1.3,3.0,100.0
"202012","A Agricultural, forestry and fishery products","Exports by countries of destination",156280835,-3.5,1.0,100.0,573996536,-17.7,1.0,100.0
"202012","B Mining and quarrying products","Imports by countries of origin",1525595191,-23.7,9.8,100.0,5614434169,-29.7,9.4,100.0
"202012","B Mining and quarrying products","Exports by countries of destination",192701192,15.3,1.2,100.0,637513021,1.4,1.1,100.0
"202012","C Industrial products","Imports by countries of origin",12275842009,-1.8,79.0,100.0,47526046751,-6.4,79.5,100.0
"202012","C Industrial products","Exports by countries of destination",15253995428,-2.7,94.1,100.0,54189812151,-12.2,94.3,100.0
"202012","C 16-18 Forest industry products","Imports by countries of origin",313526734,-9.3,2.0,100.0,1354141520,-7.5,2.3,100.0
"202012","C 16-18 Forest industry products","Exports by countries of destination",2590900256,-8.7,16.0,100.0,10272969793,-16.9,17.9,100.0
"202012","C 19-22 Chemical industry products","Imports by countries of origin",2587189109,-2.9,16.6,100.0,10437597359,-9.1,17.5,100.0
"202012","C 19-22 Chemical industry products","Exports by countries of destination",2862462383,-11.3,17.7,100.0,10619449426,-15.1,18.5,100.0
"202012","C 24-25 Metals and metal products","Imports by countries of origin",1342199658,-4.1,8.6,100.0,5406798022,-5.8,9.0,100.0
"202012","C 24-25 Metals and metal products","Exports by countries of destination",2297659187,7.9,14.2,100.0,8913268648,-10.2,15.5,100.0
"202012","C 26-27 Electrical and electronics products","Imports by countries of origin",2439020900,-0.9,15.7,100.0,8906282917,-4.4,14.9,100.0
"202012","C 26-27 Electrical and electronics products","Exports by countries of destination",1832408979,-6.5,11.3,100.0,6811579360,-8.6,11.9,100.0
"202012","C 28 Machinery and equipment","Imports by countries of origin",1524345224,-4.7,9.8,100.0,6024339411,-3.5,10.1,100.0
"202012","C 28 Machinery and equipment","Exports by countries of destination",2323848911,1.9,14.3,100.0,8617733181,-1.1,15.0,100.0
"202012","C 29-30 Vehicles","Imports by countries of origin",1761263399,2.0,11.3,100.0,6360765203,-15.2,10.6,100.0
"202012","C 29-30 Vehicles","Exports by countries of destination",2209230687,4.3,13.6,100.0,4893692700,-24.7,8.5,100.0
"202012","D Electricity, gas, heat, cooling","Imports by countries of origin",184037731,-28.6,1.2,100.0,625183373,-41.7,1.0,100.0
"202012","D Electricity, gas, heat, cooling","Exports by countries of destination",68116143,55.3,0.4,100.0,207427477,15.6,0.4,100.0
"202012","ZZ Other products","Imports by countries of origin",5579082909,-8.8,35.9,100.0,21278236630,-11.7,35.6,100.0
"202012","ZZ Other products","Exports by countries of destination",2089935188,5.5,12.9,100.0,7311268332,-3.7,12.7,100.0
"202012","X Unspecified","Imports by countries of origin",862179294,1.6,5.5,100.0,3197835676,-0.7,5.4,100.0
"202012","X Unspecified","Exports by countries of destination",402917075,8.2,2.5,100.0,1337584721,-4.0,2.3,100.0
"202009","TOTAL In total","Imports by countries of origin",14946923983,-9.2,100.0,100.0,44221533129,-10.7,100.0,100.0
"202009","TOTAL In total","Exports by countries of destination",13781443079,-10.8,100.0,100.0,41233515849,-15.0,100.0,100.0
"202009","A Agricultural, forestry and fishery products","Imports by countries of origin",392871938,-0.5,2.6,100.0,1382142759,1.6,3.1,100.0
"202009","A Agricultural, forestry and fishery products","Exports by countries of destination",139186923,-21.0,1.0,100.0,417715701,-21.9,1.0,100.0
"202009","B Mining and quarrying products","Imports by countries of origin",1410051003,-27.1,9.4,100.0,4088838978,-31.7,9.2,100.0
"202009","B Mining and quarrying products","Exports by countries of destination",172852110,28.1,1.3,100.0,444811829,-3.6,1.1,100.0
"202009","C Industrial products","Imports by countries of origin",11915474750,-6.6,79.7,100.0,35250204742,-7.8,79.7,100.0
"202009","C Industrial products","Exports by countries of destination",12974002673,-11.4,94.1,100.0,38935816723,-15.5,94.4,100.0
"202009","C 16-18 Forest industry products","Imports by countries of origin",323085715,-13.0,2.2,100.0,1040614786,-7.0,2.4,100.0
"202009","C 16-18 Forest industry products","Exports by countries of destination",2513885263,-15.8,18.2,100.0,7682069537,-19.3,18.6,100.0
"202009","C 19-22 Chemical industry products","Imports by countries of origin",2454793495,-15.0,16.4,100.0,7850408250,-11.0,17.8,100.0
"202009","C 19-22 Chemical industry products","Exports by countries of destination",2542061110,-14.1,18.4,100.0,7756987043,-16.4,18.8,100.0
"202009","C 24-25 Metals and metal products","Imports by countries of origin",1325252713,-8.1,8.9,100.0,4064598364,-6.4,9.2,100.0
"202009","C 24-25 Metals and metal products","Exports by countries of destination",2036745890,-19.5,14.8,100.0,6615609461,-15.1,16.0,100.0
"202009","C 26-27 Electrical and electronics products","Imports by countries of origin",2250875020,-4.0,15.1,100.0,6467262017,-5.7,14.6,100.0
"202009","C 26-27 Electrical and electronics products","Exports by countries of destination",1680933366,-8.0,12.2,100.0,4979170381,-9.4,12.1,100.0
"202009","C 28 Machinery and equipment","Imports by countries of origin",1477133397,-4.7,9.9,100.0,4499994187,-3.0,10.2,100.0
"202009","C 28 Machinery and equipment","Exports by countries of destination",2167572470,4.9,15.7,100.0,6293884270,-2.2,15.3,100.0
"202009","C 29-30 Vehicles","Imports by countries of origin",1709663929,-3.9,11.4,100.0,4599501804,-20.3,10.4,100.0
"202009","C 29-30 Vehicles","Exports by countries of destination",1025042821,-15.5,7.4,100.0,2684462013,-38.8,6.5,100.0
"202009","D Electricity, gas, heat, cooling","Imports by countries of origin",178112551,-41.7,1.2,100.0,441145642,-45.8,1.0,100.0
"202009","D Electricity, gas, heat, cooling","Exports by countries of destination",49441359,-9.9,0.4,100.0,139311334,2.7,0.3,100.0
"202009","ZZ Other products","Imports by countries of origin",5406119714,-11.1,36.2,100.0,15699153721,-12.7,35.5,100.0
"202009","ZZ Other products","Exports by countries of destination",1815202159,-3.1,13.2,100.0,5221333144,-7.0,12.7,100.0
"202009","X Unspecified","Imports by countries of origin",807372810,-1.4,5.4,100.0,2335656382,-1.5,5.3,100.0
"202009","X Unspecified","Exports by countries of destination",328506730,-2.6,2.4,100.0,934667646,-8.5,2.3,100.0
"202006","TOTAL In total","Imports by countries of origin",13408059016,-20.5,100.0,100.0,29274609146,-11.5,100.0,100.0
"202006","TOTAL In total","Exports by countries of destination",13019995368,-21.5,100.0,100.0,27452072770,-17.0,100.0,100.0
"202006","A Agricultural, forestry and fishery products","Imports by countries of origin",468911942,-2.5,3.5,100.0,989270821,2.4,3.4,100.0
"202006","A Agricultural, forestry and fishery products","Exports by countries of destination",149667336,-17.2,1.1,100.0,278528778,-22.4,1.0,100.0
"202006","B Mining and quarrying products","Imports by countries of origin",940997123,-53.1,7.0,100.0,2678787975,-33.8,9.2,100.0
"202006","B Mining and quarrying products","Exports by countries of destination",140151392,-14.6,1.1,100.0,271959719,-16.7,1.0,100.0
"202006","C Industrial products","Imports by countries of origin",10908503950,-16.5,81.4,100.0,23334729992,-8.5,79.7,100.0
"202006","C Industrial products","Exports by countries of destination",12283987155,-21.9,94.3,100.0,25961814050,-17.4,94.6,100.0
"202006","C 16-18 Forest industry products","Imports by countries of origin",353420284,-8.7,2.6,100.0,717529071,-4.0,2.5,100.0
"202006","C 16-18 Forest industry products","Exports by countries of destination",2687157751,-16.7,20.6,100.0,5168184274,-20.9,18.8,100.0
"202006","C 19-22 Chemical industry products","Imports by countries of origin",2527993116,-14.6,18.9,100.0,5395614755,-9.0,18.4,100.0
"202006","C 19-22 Chemical industry products","Exports by countries of destination",2372489392,-27.4,18.2,100.0,5214925933,-17.5,19.0,100.0
"202006","C 24-25 Metals and metal products","Imports by countries of origin",1398810639,-9.4,10.4,100.0,2739345651,-5.6,9.4,100.0
"202006","C 24-25 Metals and metal products","Exports by countries of destination",2151343381,-22.1,16.5,100.0,4578863571,-13.1,16.7,100.0
"202006","C 26-27 Electrical and electronics products","Imports by countries of origin",2045737724,-12.3,15.3,100.0,4216386997,-6.6,14.4,100.0
"202006","C 26-27 Electrical and electronics products","Exports by countries of destination",1561667051,-14.7,12.0,100.0,3298237015,-10.0,12.0,100.0
"202006","C 28 Machinery and equipment","Imports by countries of origin",1469587377,-9.2,11.0,100.0,3022860790,-2.2,10.3,100.0
"202006","C 28 Machinery and equipment","Exports by countries of destination",2022119210,-10.3,15.5,100.0,4126311800,-5.5,15.0,100.0
"202006","C 29-30 Vehicles","Imports by countries of origin",980087990,-51.7,7.3,100.0,2889837875,-27.6,9.9,100.0
"202006","C 29-30 Vehicles","Exports by countries of destination",624992625,-53.7,4.8,100.0,1659419192,-47.7,6.0,100.0
"202006","D Electricity, gas, heat, cooling","Imports by countries of origin",113374441,-44.9,0.8,100.0,263033091,-48.3,0.9,100.0
"202006","D Electricity, gas, heat, cooling","Exports by countries of destination",44609262,-15.7,0.3,100.0,89869975,11.3,0.3,100.0
"202006","ZZ Other products","Imports by countries of origin",4632421886,-22.7,34.5,100.0,10293034007,-13.5,35.2,100.0
"202006","ZZ Other products","Exports by countries of destination",1600225958,-15.8,12.3,100.0,3406130985,-8.9,12.4,100.0
"202006","X Unspecified","Imports by countries of origin",750930549,-8.3,5.6,100.0,1528283572,-1.5,5.2,100.0
"202006","X Unspecified","Exports by countries of destination",277754273,-20.3,2.1,100.0,606160916,-11.4,2.2,100.0
"202003","TOTAL In total","Imports by countries of origin",15866550130,-2.1,100.0,100.0,15866550130,-2.1,100.0,100.0
"202003","TOTAL In total","Exports by countries of destination",14432077402,-12.4,100.0,100.0,14432077402,-12.4,100.0,100.0
"202003","A Agricultural, forestry and fishery products","Imports by countries of origin",520358879,7.3,3.3,100.0,520358879,7.3,3.3,100.0
"202003","A Agricultural, forestry and fishery products","Exports by countries of destination",128861442,-27.7,0.9,100.0,128861442,-27.7,0.9,100.0
"202003","B Mining and quarrying products","Imports by countries of origin",1737790852,-14.8,11.0,100.0,1737790852,-14.8,11.0,100.0
"202003","B Mining and quarrying products","Exports by countries of destination",131808327,-18.8,0.9,100.0,131808327,-18.8,0.9,100.0
"202003","C Industrial products","Imports by countries of origin",12426226042,0,78.3,100.0,12426226042,0,78.3,100.0
"202003","C Industrial products","Exports by countries of destination",13677826895,-12.8,94.8,100.0,13677826895,-12.8,94.8,100.0
"202003","C 16-18 Forest industry products","Imports by countries of origin",364108787,1.1,2.3,100.0,364108787,1.1,2.3,100.0
"202003","C 16-18 Forest industry products","Exports by countries of destination",2481026523,-25.0,17.2,100.0,2481026523,-25.0,17.2,100.0
"202003","C 19-22 Chemical industry products","Imports by countries of origin",2867621639,-3.4,18.1,100.0,2867621639,-3.4,18.1,100.0
"202003","C 19-22 Chemical industry products","Exports by countries of destination",2842436541,-6.9,19.7,100.0,2842436541,-6.9,19.7,100.0
"202003","C 24-25 Metals and metal products","Imports by countries of origin",1340535012,-1.2,8.4,100.0,1340535012,-1.2,8.4,100.0
"202003","C 24-25 Metals and metal products","Exports by countries of destination",2427520190,-3.0,16.8,100.0,2427520190,-3.0,16.8,100.0
"202003","C 26-27 Electrical and electronics products","Imports by countries of origin",2170649273,-0.6,13.7,100.0,2170649273,-0.6,13.7,100.0
"202003","C 26-27 Electrical and electronics products","Exports by countries of destination",1736569964,-5.4,12.0,100.0,1736569964,-5.4,12.0,100.0
"202003","C 28 Machinery and equipment","Imports by countries of origin",1553273413,5.5,9.8,100.0,1553273413,5.5,9.8,100.0
"202003","C 28 Machinery and equipment","Exports by countries of destination",2104192590,-0.4,14.6,100.0,2104192590,-0.4,14.6,100.0
"202003","C 29-30 Vehicles","Imports by countries of origin",1909749885,-2.8,12.0,100.0,1909749885,-2.8,12.0,100.0
"202003","C 29-30 Vehicles","Exports by countries of destination",1034426567,-43.3,7.2,100.0,1034426567,-43.3,7.2,100.0
"202003","D Electricity, gas, heat, cooling","Imports by countries of origin",149658650,-50.6,0.9,100.0,149658650,-50.6,0.9,100.0
"202003","D Electricity, gas, heat, cooling","Exports by countries of destination",45260713,62.8,0.3,100.0,45260713,62.8,0.3,100.0
"202003","ZZ Other products","Imports by countries of origin",5660612121,-4.2,35.7,100.0,5660612121,-4.2,35.7,100.0
"202003","ZZ Other products","Exports by countries of destination",1805905027,-1.8,12.5,100.0,1805905027,-1.8,12.5,100.0
"202003","X Unspecified","Imports by countries of origin",777353023,6.0,4.9,100.0,777353023,6.0,4.9,100.0
"202003","X Unspecified","Exports by countries of destination",328406643,-2.1,2.3,100.0,328406643,-2.1,2.3,100.0
"201912","TOTAL In total","Imports by countries of origin",16318099353,-5.2,100.0,100.0,65851205709,-1.1,100.0,100.0
"201912","TOTAL In total","Exports by countries of destination",16535447468,0,100.0,100.0,65053896702,2.2,100.0,100.0
"201912","A Agricultural, forestry and fishery products","Imports by countries of origin",478248706,-9.9,2.9,100.0,1838820626,-7.4,2.8,100.0
"201912","A Agricultural, forestry and fishery products","Exports by countries of destination",161941706,1.1,1.0,100.0,697086143,-1.4,1.1,100.0
"201912","B Mining and quarrying products","Imports by countries of origin",2000180914,-6.8,12.3,100.0,7982995557,-7.0,12.1,100.0
"201912","B Mining and quarrying products","Exports by countries of destination",167138708,7.9,1.0,100.0,628540048,-0.5,1.0,100.0
"201912","C Industrial products","Imports by countries of origin",12500447485,-5.2,76.6,100.0,50752518389,-0.3,77.1,100.0
"201912","C Industrial products","Exports by countries of destination",15680457747,0.2,94.8,100.0,61751752717,2.3,94.9,100.0
"201912","C 16-18 Forest industry products","Imports by countries of origin",345692025,-6.7,2.1,100.0,1464305534,-4.2,2.2,100.0
"201912","C 16-18 Forest industry products","Exports by countries of destination",2837524864,-15.5,17.2,100.0,12360275312,-5.6,19.0,100.0
"201912","C 19-22 Chemical industry products","Imports by countries of origin",2665658735,-9.8,16.3,100.0,11481726755,-1.0,17.4,100.0
"201912","C 19-22 Chemical industry products","Exports by countries of destination",3228834242,3.9,19.5,100.0,12505214862,1.4,19.2,100.0
"201912","C 24-25 Metals and metal products","Imports by countries of origin",1398985171,-4.2,8.6,100.0,5742284642,-12.0,8.7,100.0
"201912","C 24-25 Metals and metal products","Exports by countries of destination",2130395648,-17.7,12.9,100.0,9926884497,0.4,15.3,100.0
"201912","C 26-27 Electrical and electronics products","Imports by countries of origin",2461538436,-6.5,15.1,100.0,9320029911,-2.6,14.2,100.0
"201912","C 26-27 Electrical and electronics products","Exports by countries of destination",1960213894,-3.1,11.9,100.0,7453696853,0.5,11.5,100.0
"201912","C 28 Machinery and equipment","Imports by countries of origin",1599431263,9.1,9.8,100.0,6240255225,8.9,9.5,100.0
"201912","C 28 Machinery and equipment","Exports by countries of destination",2279469241,1.8,13.8,100.0,8712846945,6.0,13.4,100.0
"201912","C 29-30 Vehicles","Imports by countries of origin",1727274243,-14.7,10.6,100.0,7499410476,3.6,11.4,100.0
"201912","C 29-30 Vehicles","Exports by countries of destination",2118162888,66.7,12.8,100.0,6502753202,21.8,10.0,100.0
"201912","D Electricity, gas, heat, cooling","Imports by countries of origin",257616612,-10.2,1.6,100.0,1072122199,4.7,1.6,100.0
"201912","D Electricity, gas, heat, cooling","Exports by countries of destination",43856239,-16.0,0.3,100.0,179478307,47.5,0.3,100.0
"201912","ZZ Other products","Imports by countries of origin",6119519480,-3.0,37.5,100.0,24103193166,-1.3,36.6,100.0
"201912","ZZ Other products","Exports by countries of destination",1980846691,1.5,12.0,100.0,7592225031,2.6,11.7,100.0
"201912","X Unspecified","Imports by countries of origin",848400999,2.5,5.2,100.0,3219606992,4.1,4.9,100.0
"201912","X Unspecified","Exports by countries of destination",372380099,-6.3,2.3,100.0,1393615618,-4.4,2.1,100.0
"201909","TOTAL In total","Imports by countries of origin",16459095648,0.7,100.0,100.0,49533106356,0.3,100.0,100.0
"201909","TOTAL In total","Exports by countries of destination",15454396448,1.0,100.0,100.0,48518449234,2.9,100.0,100.0
"201909","A Agricultural, forestry and fishery products","Imports by countries of origin",394721117,-14.0,2.4,100.0,1360571920,-6.4,2.7,100.0
"201909","A Agricultural, forestry and fishery products","Exports by countries of destination",176207832,1.0,1.1,100.0,535144437,-2.2,1.1,100.0
"201909","B Mining and quarrying products","Imports by countries of origin",1935406268,-13.4,11.8,100.0,5982814643,-7.0,12.1,100.0
"201909","B Mining and quarrying products","Exports by countries of destination",134926495,-10.8,0.9,100.0,461401340,-3.2,1.0,100.0
"201909","C Industrial products","Imports by countries of origin",12761283611,3.4,77.5,100.0,38252070904,1.4,77.2,100.0
"201909","C Industrial products","Exports by countries of destination",14650626816,1.1,94.8,100.0,46071294970,3.1,95.0,100.0
"201909","C 16-18 Forest industry products","Imports by countries of origin",371561019,-5.6,2.3,100.0,1118613509,-3.4,2.3,100.0
"201909","C 16-18 Forest industry products","Exports by countries of destination",2986648642,-8.8,19.3,100.0,9522750448,-2.2,19.6,100.0
"201909","C 19-22 Chemical industry products","Imports by countries of origin",2888248299,-1.7,17.5,100.0,8816068020,2.1,17.8,100.0
"201909","C 19-22 Chemical industry products","Exports by countries of destination",2957786130,-3.8,19.1,100.0,9276380620,0.6,19.1,100.0
"201909","C 24-25 Metals and metal products","Imports by countries of origin",1442122487,-9.6,8.8,100.0,4343299471,-14.2,8.8,100.0
"201909","C 24-25 Metals and metal products","Exports by countries of destination",2529273004,3.2,16.4,100.0,7796488849,6.9,16.1,100.0
"201909","C 26-27 Electrical and electronics products","Imports by countries of origin",2344344185,0.8,14.2,100.0,6858491475,-1.0,13.8,100.0
"201909","C 26-27 Electrical and electronics products","Exports by countries of destination",1827902118,2.1,11.8,100.0,5493482959,1.8,11.3,100.0
"201909","C 28 Machinery and equipment","Imports by countries of origin",1549228778,14.2,9.4,100.0,4640823962,8.9,9.4,100.0
"201909","C 28 Machinery and equipment","Exports by countries of destination",2066902410,9.0,13.4,100.0,6433377704,7.6,13.3,100.0
"201909","C 29-30 Vehicles","Imports by countries of origin",1779773208,17.9,10.8,100.0,5772136233,10.7,11.7,100.0
"201909","C 29-30 Vehicles","Exports by countries of destination",1212595086,20.5,7.8,100.0,4384590314,7.7,9.0,100.0
"201909","D Electricity, gas, heat, cooling","Imports by countries of origin",305574234,6.9,1.9,100.0,814505587,10.5,1.6,100.0
"201909","D Electricity, gas, heat, cooling","Exports by countries of destination",54889687,103.8,0.4,100.0,135622068,95.3,0.3,100.0
"201909","ZZ Other products","Imports by countries of origin",6083817672,-2.4,37.0,100.0,17983673686,-0.7,36.3,100.0
"201909","ZZ Other products","Exports by countries of destination",1873289058,3.5,12.1,100.0,5611378340,3.0,11.6,100.0
"201909","X Unspecified","Imports by countries of origin",818870995,5.2,5.0,100.0,2371205993,4.7,4.8,100.0
"201909","X Unspecified","Exports by countries of destination",337222844,-6.2,2.2,100.0,1021235519,-3.6,2.1,100.0
"201906","TOTAL In total","Imports by countries of origin",16864500839,1.2,100.0,100.0,33074010708,0.2,100.0,100.0
"201906","TOTAL In total","Exports by countries of destination",16588188411,1.1,100.0,100.0,33064052786,3.8,100.0,100.0
"201906","A Agricultural, forestry and fishery products","Imports by countries of origin",480906447,-3.8,2.9,100.0,965850803,-2.9,2.9,100.0
"201906","A Agricultural, forestry and fishery products","Exports by countries of destination",180707145,-8.4,1.1,100.0,358936605,-3.6,1.1,100.0
"201906","B Mining and quarrying products","Imports by countries of origin",2008491436,0.3,11.9,100.0,4047408375,-3.6,12.2,100.0
"201906","B Mining and quarrying products","Exports by countries of destination",164155168,1.5,1.0,100.0,326474845,0.3,1.0,100.0
"201906","C Industrial products","Imports by countries of origin",13058587866,1.5,77.4,100.0,25490787293,0.4,77.1,100.0
"201906","C Industrial products","Exports by countries of destination",15734096066,1.3,94.9,100.0,31420668154,4.0,95.0,100.0
"201906","C 16-18 Forest industry products","Imports by countries of origin",386985877,-1.8,2.3,100.0,747052490,-2.3,2.3,100.0
"201906","C 16-18 Forest industry products","Exports by countries of destination",3226204041,-1.2,19.4,100.0,6536101806,1.2,19.8,100.0
"201906","C 19-22 Chemical industry products","Imports by countries of origin",2960216758,5.0,17.6,100.0,5927819721,4.0,17.9,100.0
"201906","C 19-22 Chemical industry products","Exports by countries of destination",3266776295,5.9,19.7,100.0,6318594490,2.8,19.1,100.0
"201906","C 24-25 Metals and metal products","Imports by countries of origin",1544467358,-14.2,9.2,100.0,2901176984,-16.3,8.8,100.0
"201906","C 24-25 Metals and metal products","Exports by countries of destination",2763393326,14.9,16.7,100.0,5267215845,8.7,15.9,100.0
"201906","C 26-27 Electrical and electronics products","Imports by countries of origin",2331373394,0.2,13.8,100.0,4514147290,-2.0,13.6,100.0
"201906","C 26-27 Electrical and electronics products","Exports by countries of destination",1829746714,-2.4,11.0,100.0,3665580841,1.7,11.1,100.0
"201906","C 28 Machinery and equipment","Imports by countries of origin",1618923481,5.6,9.6,100.0,3091595184,6.4,9.3,100.0
"201906","C 28 Machinery and equipment","Exports by countries of destination",2253522241,6.5,13.6,100.0,4366475294,6.9,13.2,100.0
"201906","C 29-30 Vehicles","Imports by countries of origin",2028452789,9.2,12.0,100.0,3992363025,7.8,12.1,100.0
"201906","C 29-30 Vehicles","Exports by countries of destination",1349156881,-24.9,8.1,100.0,3171995228,3.5,9.6,100.0
"201906","D Electricity, gas, heat, cooling","Imports by countries of origin",205800057,-9.0,1.2,100.0,508931353,12.7,1.5,100.0
"201906","D Electricity, gas, heat, cooling","Exports by countries of destination",52937594,105.2,0.3,100.0,80732381,89.9,0.2,100.0
"201906","ZZ Other products","Imports by countries of origin",5994081182,0.9,35.5,100.0,11899856014,0.2,36.0,100.0
"201906","ZZ Other products","Exports by countries of destination",1899388913,1.9,11.5,100.0,3738089282,2.8,11.3,100.0
"201906","X Unspecified","Imports by countries of origin",818659823,3.2,4.9,100.0,1552334998,4.5,4.7,100.0
"201906","X Unspecified","Exports by countries of destination",348618777,-10.0,2.1,100.0,684012675,-2.3,2.1,100.0
"201903","TOTAL In total","Imports by countries of origin",16209509869,-0.8,100.0,100.0,16209509869,-0.8,100.0,100.0
"201903","TOTAL In total","Exports by countries of destination",16475864375,6.8,100.0,100.0,16475864375,6.8,100.0,100.0
"201903","A Agricultural, forestry and fishery products","Imports by countries of origin",484944356,-2.1,3.0,100.0,484944356,-2.1,3.0,100.0
"201903","A Agricultural, forestry and fishery products","Exports by countries of destination",178229460,1.7,1.1,100.0,178229460,1.7,1.1,100.0
"201903","B Mining and quarrying products","Imports by countries of origin",2038916939,-7.1,12.6,100.0,2038916939,-7.1,12.6,100.0
"201903","B Mining and quarrying products","Exports by countries of destination",162319677,-0.9,1.0,100.0,162319677,-0.9,1.0,100.0
"201903","C Industrial products","Imports by countries of origin",12432199427,-0.6,76.7,100.0,12432199427,-0.6,76.7,100.0
"201903","C Industrial products","Exports by countries of destination",15686572088,6.9,95.2,100.0,15686572088,6.9,95.2,100.0
"201903","C 16-18 Forest industry products","Imports by countries of origin",360066613,-2.8,2.2,100.0,360066613,-2.8,2.2,100.0
"201903","C 16-18 Forest industry products","Exports by countries of destination",3309897765,3.6,20.1,100.0,3309897765,3.6,20.1,100.0
"201903","C 19-22 Chemical industry products","Imports by countries of origin",2967602963,3.0,18.3,100.0,2967602963,3.0,18.3,100.0
"201903","C 19-22 Chemical industry products","Exports by countries of destination",3051818195,-0.3,18.5,100.0,3051818195,-0.3,18.5,100.0
"201903","C 24-25 Metals and metal products","Imports by countries of origin",1356709626,-18.7,8.4,100.0,1356709626,-18.7,8.4,100.0
"201903","C 24-25 Metals and metal products","Exports by countries of destination",2503822519,2.6,15.2,100.0,2503822519,2.6,15.2,100.0
"201903","C 26-27 Electrical and electronics products","Imports by countries of origin",2182773896,-4.2,13.5,100.0,2182773896,-4.2,13.5,100.0
"201903","C 26-27 Electrical and electronics products","Exports by countries of destination",1835834127,6.2,11.1,100.0,1835834127,6.2,11.1,100.0
"201903","C 28 Machinery and equipment","Imports by countries of origin",1472671703,7.3,9.1,100.0,1472671703,7.3,9.1,100.0
"201903","C 28 Machinery and equipment","Exports by countries of destination",2112953053,7.4,12.8,100.0,2112953053,7.4,12.8,100.0
"201903","C 29-30 Vehicles","Imports by countries of origin",1963910236,6.5,12.1,100.0,1963910236,6.5,12.1,100.0
"201903","C 29-30 Vehicles","Exports by countries of destination",1822838347,43.9,11.1,100.0,1822838347,43.9,11.1,100.0
"201903","D Electricity, gas, heat, cooling","Imports by countries of origin",303131296,34.4,1.9,100.0,303131296,34.4,1.9,100.0
"201903","D Electricity, gas, heat, cooling","Exports by countries of destination",27794787,66.4,0.2,100.0,27794787,66.4,0.2,100.0
"201903","ZZ Other products","Imports by countries of origin",5905774832,-0.4,36.4,100.0,5905774832,-0.4,36.4,100.0
"201903","ZZ Other products","Exports by countries of destination",1838700369,3.7,11.2,100.0,1838700369,3.7,11.2,100.0
"201903","X Unspecified","Imports by countries of origin",733675175,5.9,4.5,100.0,733675175,5.9,4.5,100.0
"201903","X Unspecified","Exports by countries of destination",335393898,7.1,2.0,100.0,335393898,7.1,2.0,100.0
"201812","TOTAL In total","Imports by countries of origin",17219155651,6.2,100.0,100.0,66585296144,6.6,100.0,100.0
"201812","TOTAL In total","Exports by countries of destination",16535888744,7.3,100.0,100.0,63682046527,6.6,100.0,100.0
"201812","A Agricultural, forestry and fishery products","Imports by countries of origin",530748829,12.2,3.1,100.0,1984788856,12.1,3.0,100.0
"201812","A Agricultural, forestry and fishery products","Exports by countries of destination",160190611,-14.8,1.0,100.0,707161352,-12.5,1.1,100.0
