"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202212","X Unspecified","Imports by countries of origin",1030034349,-1.5,4.5,100.0,4017696614,13.2,4.3,100.0
"202212","X Unspecified","Exports by countries of destination",572133192,32.8,2.6,100.0,1905506402,32.2,2.3,100.0
"202209","TOTAL In total","Imports by countries of origin",23366132038,28.0,100.0,100.0,69426129795,34.6,100.0,100.0
"202209","TOTAL In total","Exports by countries of destination",20590785352,18.8,100.0,100.0,60042252013,23.2,100.0,100.0
"202209","A Agricultural, forestry and fishery products","Imports by countries of origin",509238450,15.7,2.2,100.0,1613061914,13.0,2.3,100.0
"202209","A Agricultural, forestry and fishery products","Exports by countries of destination",270623966,19.6,1.3,100.0,602182334,0.3,1.0,100.0
"202209","B Mining and quarrying products","Imports by countries of origin",3176813851,47.0,13.6,100.0,9956932957,88.4,14.3,100.0
"202209","B Mining and quarrying products","Exports by countries of destination",215958630,-6.0,1.0,100.0,861688983,17.9,1.4,100.0
"202209","C Industrial products","Imports by countries of origin",17269958715,24.4,73.9,100.0,51178288817,27.0,73.7,100.0
"202209","C Industrial products","Exports by countries of destination",19080916985,18.1,92.7,100.0,56003668732,22.8,93.3,100.0
"202209","C 16-18 Forest industry products","Imports by countries of origin",404013976,3.5,1.7,100.0,1268705624,16.5,1.8,100.0
"202209","C 16-18 Forest industry products","Exports by countries of destination",3983834022,17.1,19.3,100.0,10745506407,12.9,17.9,100.0
"202209","C 19-22 Chemical industry products","Imports by countries of origin",4623598565,31.5,19.8,100.0,13391811014,38.8,19.3,100.0
"202209","C 19-22 Chemical industry products","Exports by countries of destination",4546841274,35.3,22.1,100.0,13254134499,51.4,22.1,100.0
"202209","C 24-25 Metals and metal products","Imports by countries of origin",2554307035,41.4,10.9,100.0,7806868647,53.0,11.2,100.0
