"12bc -- Gross domestic product per capita by area, annually, 2000-2020",,,,,,
,,,,,,
Area,"2015 At current prices, euro","2016 At current prices, euro","2017 At current prices, euro","2018 At current prices, euro","2019 At current prices, euro","2020 At current prices, euro"
SK091 Lappeenranta,37240.2,37389.6,40605.9,42432.2,40775.5,39423.8
SK093 Imatra,35616.5,35095.4,35753,32756.9,35408.2,33550.2
SK101 Mikkeli,31885,32933.7,34121.2,34543,35330.2,35245
SK103 Savonlinna,26849.6,27707.8,28215.4,29715.5,30454.1,31207.8
SK105 Pieksämäki,28663.8,30082.4,30369,32540.7,32228,32061.6
SK111 Ylä-Savo,27618.9,29351.6,32154.6,33098.6,33350.1,32810.8
SK112 Kuopio,35469.8,36133.4,36793.1,38491.8,39689.5,38789.3
SK113 Koillis-Savo,26611.2,24248.8,28522.9,28954.3,27617.4,32779.3
SK114 Varkaus,28067,27848.5,30671.7,33280.5,33083.8,33866
SK115 Sisä-Savo,22506.2,25089.7,26539.6,26788.5,27972.2,29837.5
SK122 Joensuu,31541.6,32743.9,33406.9,35878.8,36535.2,35015.8
SK124 Keski-Karjala,22036.4,23372.5,23069.1,26419.4,24068.6,25367
SK125 Pielisen Karjala,24003.8,25219.5,24772.2,26268.6,25812.8,27727.7
SK131 Jyväskylä,33300.3,34248.9,35210.8,35517.7,36330.6,36263.4
SK132 Joutsa,22353.3,24669.5,26923.2,27751,28182,30801.6
SK133 Keuruu,25949.6,27559.7,28475.1,29582.4,30152.3,30362.4
SK134 Jämsä,33856.7,36262,35872.3,37516.2,38899.7,34784.6
SK135 Äänekoski,35902.3,36795.4,39697.9,51817.2,47123.7,40521
SK138 Saarijärvi-Viitasaari,24001.8,24991.8,26117.8,28592.6,29696.2,30655.7
SK141 Suupohja,26126.1,27315.8,28489,28624.4,31167.8,31162.2
SK142 Seinäjoki,32715.3,32389,34269.1,34834.6,36294.2,36534.5
SK144 Kuusiokunnat,25595,26510.6,27670.2,29044.3,28509.3,29348.3
SK146 Järviseutu,25408.9,26174.1,26736.9,26572.4,30578.8,31250.9
SK152 Vaasa,40680.3,40590.1,40533.4,41388.6,42432.1,41506.9
SK153 Sydösterbotten,31642.3,34153.9,35094.9,38638.2,39133.4,40146.2
SK154 Jakobstadsregionen,38134.2,37020.6,38838.8,39893.5,39796.6,38385.3
SK161 Kaustinen,23063.1,23172.2,24095.1,25895,27549.2,27690
SK162 Kokkola,39213,38255.9,40962.1,41773.6,41264.4,41817.2
SK171 Oulu,33647.8,36820.1,37499.9,36904.2,39069.9,39669
SK173 Oulunkaari,24678,25198.9,26693.8,28414,29233.2,29782.5
SK174 Raahe,30017,30359.7,31457.3,35871.6,34137,32972.6
SK175 Haapavesi-Siikalatva,25224,27325.4,28366.5,30364.5,31344.4,34686.3
SK176 Nivala-Haapajärvi,26740.4,26183.2,28210.4,30079.2,28743.1,28668.4
SK177 Ylivieska,27561.9,28675.1,29932.5,31271.3,31848.8,33239.1
SK178 Koillismaa,27089.6,27997.5,29561.2,31541,31213.9,31887.4
SK181 Kehys-Kainuu,23565.6,24005.4,26387.5,27195.6,28345.3,28854
SK182 Kajaani,28452.4,30804.3,33231.8,35487.5,36036.8,37343.6
SK191 Rovaniemi,33983.6,34745.6,35332.4,36447.5,36683.3,35679.7
SK192 Kemi-Tornio,38771.7,39655,42993.7,40880.1,41224,40172.8
SK193 Torniolaakso,23435.1,24256.7,26174.9,28229.1,27343.6,28445.1
SK194 Itä-Lappi,24505.1,25181.5,26755,27734.5,27970.5,28247.4
SK196 Tunturi-Lappi,39990.8,43909.7,45254.1,44653,47974.4,53254
SK197 Pohjois-Lappi,41135.1,41490.6,50398.1,52841.1,47258.8,51611.2
SK211 Mariehamns stad,77681,74937.4,75921.5,70099.3,72730.5,58183.5
SK212 Ålands landsbygd,28794,29162.9,28976,26777.5,28005,28362
SK213 Ålands skärgård,25479.1,25720.2,28097.4,27974.3,28673.8,29353.1
