Time,Area,Industry,Employment
201512,MK04 Satakunta,23 Manufacture of other non-metallic mineral products,0.005476462028552327
201512,MK04 Satakunta,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.04747905769457663
201512,MK04 Satakunta,"26, 27 Manufacture of electrical and electronic products",0.004532583474259645
201512,MK04 Satakunta,28 Manufacture of machinery and equipment n.e.c.,0.03378298658905887
201512,MK04 Satakunta,"29, 30 Manufacture of transport equipment",0.006744798835883117
201512,MK04 Satakunta,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.021050458174381562
201512,MK04 Satakunta,"681, 68209, 683 Other real estate activities",0.005653439257482204
201512,MK04 Satakunta,"68201, 68202 Letting and operation of dwellings",0.0012290085342352617
201512,MK04 Satakunta,"A Agriculture, forestry and fishing (01-03)",0.049229165847327644
201512,MK04 Satakunta,B Mining and quarrying (05-09),0.0031560939159161524
201512,MK04 Satakunta,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.01977228929877689
201512,MK04 Satakunta,F Construction (41-43),0.08039682227553388
201512,MK04 Satakunta,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.09826169032917764
201512,MK04 Satakunta,H Transportation and storage (49-53),0.06118496086836827
201512,MK04 Satakunta,I Accommodation and food service activities (55-56),0.02713650843591458
201512,MK04 Satakunta,J Information and communication (58-63),0.014630117591536556
201512,MK04 Satakunta,K Financial and insurance activities (64-66),0.0100483737759075
201512,MK04 Satakunta,"M Professional, scientific and technical activities (69-75)",0.03394029968144099
201512,MK04 Satakunta,N Administrative and support service activities (77-82),0.04551264403980021
201512,MK04 Satakunta,O Public administration and defence; compulsory social security (84),0.09598065048963701
201512,MK04 Satakunta,P Education (85),0.05280803869902073
201512,MK04 Satakunta,Q Human health and social work activities (86-88),0.16085263696071106
201512,MK04 Satakunta,"R, S Other service activities (90-96)",0.04064577024422858
201512,MK04 Satakunta,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.005692767530577732
201512,MK05 Kanta-Häme,10-12 Food industry etc.,0.029473712453549055
201512,MK05 Kanta-Häme,"13-15 Textile, clothing and leather industry",0.003488013308112314
201512,MK05 Kanta-Häme,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.007901691686454434
201512,MK05 Kanta-Häme,"17, 18 Paper industry; Printing",0.014126453897854871
201512,MK05 Kanta-Häme,19-22 Chemical industry,0.0076467984062462266
201512,MK05 Kanta-Häme,23 Manufacture of other non-metallic mineral products,0.013576421030037162
201512,MK05 Kanta-Häme,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.04863095477656592
201512,MK05 Kanta-Häme,"26, 27 Manufacture of electrical and electronic products",0.005540574985578407
201512,MK05 Kanta-Häme,28 Manufacture of machinery and equipment n.e.c.,0.01566922901490455
201512,MK05 Kanta-Häme,"29, 30 Manufacture of transport equipment",0.0071235964100293805
201512,MK05 Kanta-Häme,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.01363008277323889
201512,MK05 Kanta-Häme,"681, 68209, 683 Other real estate activities",0.006815041386619445
201512,MK05 Kanta-Häme,"68201, 68202 Letting and operation of dwellings",0.0015427751170496776
201512,MK05 Kanta-Häme,"A Agriculture, forestry and fishing (01-03)",0.04633691525469205
201512,MK05 Kanta-Häme,B Mining and quarrying (05-09),0.0013415435800431979
201512,MK05 Kanta-Häme,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.01444842435706524
201512,MK05 Kanta-Häme,F Construction (41-43),0.0751801022256208
201512,MK05 Kanta-Häme,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.12685636092888478
201512,MK05 Kanta-Häme,H Transportation and storage (49-53),0.047182087710119266
201512,MK05 Kanta-Häme,I Accommodation and food service activities (55-56),0.029004172200533935
201512,MK05 Kanta-Häme,J Information and communication (58-63),0.019385304731624208
201512,MK05 Kanta-Häme,K Financial and insurance activities (64-66),0.010692102332944287
201512,MK05 Kanta-Häme,"M Professional, scientific and technical activities (69-75)",0.042500100615768505
201512,MK05 Kanta-Häme,N Administrative and support service activities (77-82),0.047852859500140864
201512,MK05 Kanta-Häme,O Public administration and defence; compulsory social security (84),0.09920714774419447
201512,MK05 Kanta-Häme,P Education (85),0.05845105378248213
201512,MK05 Kanta-Häme,Q Human health and social work activities (86-88),0.15606176466642518
201512,MK05 Kanta-Häme,"R, S Other service activities (90-96)",0.04565272802887002
201512,MK05 Kanta-Häme,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.0046551562227498955
201512,MK06 Pirkanmaa,10-12 Food industry etc.,0.013237831619814509
201512,MK06 Pirkanmaa,"13-15 Textile, clothing and leather industry",0.01036648932345963
201512,MK06 Pirkanmaa,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.00758951038895679
201512,MK06 Pirkanmaa,"17, 18 Paper industry; Printing",0.020719498166654682
201512,MK06 Pirkanmaa,19-22 Chemical industry,0.021856352002300666
201512,MK06 Pirkanmaa,23 Manufacture of other non-metallic mineral products,0.004978790711050399
201512,MK06 Pirkanmaa,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.02409860521964196
201512,MK06 Pirkanmaa,"26, 27 Manufacture of electrical and electronic products",0.015547487238478682
