Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,2373526,63657,5983,297502,11987,11474,165380,261132,131267,89981,101771,44653,23050,144719,179679,116442,164209,407427,45517,63691,8403,416,35186
00100  Helsinki keskusta - Etu-Töölö (Helsinki),51616,27,0,885,719,0,572,6545,1032,4612,9109,4452,1200,8589,2054,2108,2291,2829,2180,2367,0,45,0
00120  Punavuori - Bulevardi (Helsinki),7203,3,0,167,0,0,22,568,234,981,568,820,78,1228,277,419,351,496,167,804,1,17,2
00130  Kaartinkaupunki (Helsinki),11597,8,4,140,2,4,171,460,115,880,1021,1334,243,2500,318,2033,172,647,273,1199,0,73,0
00140  Kaivopuisto - Ullanlinna (Helsinki),2532,5,0,22,0,0,114,227,635,235,75,26,143,287,86,13,61,306,98,113,0,86,0
00150  Punavuori - Eira - Hernesaari (Helsinki),4097,5,0,482,0,0,106,279,43,226,514,81,55,1263,152,0,199,477,93,119,0,3,0
00160  Katajanokka (Helsinki),3622,4,0,423,0,1,49,163,541,288,91,30,13,191,133,1328,49,126,106,78,0,8,0
00170  Kruununhaka (Helsinki),9765,3,0,59,0,1,78,216,34,467,247,644,51,445,89,3781,2047,406,666,514,0,17,0
00180  Kamppi - Ruoholahti (Helsinki),21489,5,1,1882,545,58,277,1093,305,692,4926,1296,188,5597,519,965,763,1157,476,743,0,0,1
00190  Suomenlinna (Helsinki),428,0,0,11,0,0,20,7,0,41,5,1,0,15,21,138,20,26,117,6,0,0,0
00200  Pohjois-Lauttasaari (Helsinki),2209,8,0,23,0,0,119,280,41,90,244,20,43,255,93,50,219,545,71,107,1,0,0
00210  Vattuniemi (Helsinki),4401,3,0,120,7,0,130,716,121,112,465,65,160,1022,995,0,52,213,85,135,0,0,0
00220  Jätkäsaari (Helsinki),1326,0,0,9,0,0,36,30,563,182,24,5,4,50,39,70,44,155,50,65,0,0,0
00230  Helsinki postikeskus (Helsinki),3180,0,0,1,0,0,6,16,2493,9,599,2,18,0,32,0,0,2,0,2,0,0,0
00240  Länsi-Pasila (Helsinki),14490,70,0,54,71,370,656,360,1810,424,3931,1854,97,1449,580,1825,92,416,175,255,1,0,0
00250  Taka-Töölö (Helsinki),7341,11,0,17,0,0,99,243,662,295,80,12,65,418,192,664,378,3295,581,309,0,20,0
00260  Keski-Töölö (Helsinki),6828,3,0,7,0,0,18,237,11,366,106,22,45,389,92,0,647,3920,801,164,0,0,0
