Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,2373668,65159,6184,304161,11523,11383,167861,262475,131026,89385,99217,44851,22169,142294,184727,114361,159081,402751,46991,64209,11598,317,31945
00100  Helsinki keskusta - Etu-Töölö (Helsinki),51915,66,0,922,531,4,645,6669,1627,4897,8550,4293,996,8154,2265,2108,2565,2938,2151,2516,0,15,3
00120  Punavuori - Bulevardi (Helsinki),7553,8,0,138,0,0,26,701,207,878,555,948,94,1425,275,415,299,553,178,853,0,0,0
00130  Kaartinkaupunki (Helsinki),12142,18,4,110,2,5,203,477,109,988,970,1316,252,2925,285,2159,148,635,298,1227,0,11,0
00140  Kaivopuisto - Ullanlinna (Helsinki),2673,9,0,21,0,0,145,245,609,292,215,23,117,287,83,30,53,309,116,119,0,0,0
00150  Punavuori - Eira - Hernesaari (Helsinki),5428,5,0,648,0,0,126,366,54,338,813,60,55,1806,196,0,227,473,121,131,2,7,0
00160  Katajanokka (Helsinki),3482,6,0,420,0,0,37,132,697,363,126,21,14,260,92,1014,43,126,54,77,0,0,0
00170  Kruununhaka (Helsinki),9644,4,0,62,0,0,95,209,30,492,269,655,78,566,86,3653,1944,422,481,588,0,10,0
00180  Kamppi - Ruoholahti (Helsinki),22218,2,1,1926,512,49,728,1030,254,828,4978,1201,197,5304,524,997,882,1522,538,745,0,0,0
00190  Suomenlinna (Helsinki),445,0,0,16,0,0,22,11,10,39,3,1,0,15,21,143,33,26,87,18,0,0,0
00200  Pohjois-Lauttasaari (Helsinki),2266,2,0,28,0,0,156,306,111,117,152,16,53,258,109,56,183,467,100,152,0,0,0
00210  Vattuniemi (Helsinki),5148,1,0,145,16,0,128,904,98,107,556,67,117,1566,1029,0,20,186,76,132,0,0,0
00220  Jätkäsaari (Helsinki),1277,0,0,5,0,1,44,11,615,193,21,5,0,45,28,71,28,127,51,32,0,0,0
00230  Helsinki postikeskus (Helsinki),2670,0,0,23,0,0,6,15,1887,11,518,0,18,0,64,0,0,128,0,0,0,0,0
00240  Länsi-Pasila (Helsinki),13815,50,0,54,80,0,667,296,1327,382,4045,1956,166,1646,436,1627,61,352,455,215,0,0,0
00250  Taka-Töölö (Helsinki),7189,11,0,16,0,0,78,271,71,299,69,11,83,501,265,683,428,3342,701,360,0,0,0
00260  Keski-Töölö (Helsinki),6807,1,0,9,0,0,8,208,10,465,129,22,41,482,57,0,461,3909,809,196,0,0,0
00270  Pohjois-Meilahti (Helsinki),2078,1,0,11,0,0,9,112,23,152,496,5,18,302,88,0,233,491,41,95,0,0,1
00280  Ruskeasuo (Helsinki),5282,1,0,36,0,0,1817,399,658,64,193,34,223,347,199,331,234,607,44,94,0,0,1
00290  Meilahden sairaala-alue (Helsinki),11694,0,0,13,0,0,333,287,0,173,22,2,1,170,51,132,1141,9286,55,28,0,0,0
00300  Pikku Huopalahti (Helsinki),2712,0,0,35,0,0,93,72,60,27,5,2,277,922,44,4,144,956,22,49,0,0,0
00310  Kivihaka (Helsinki),574,0,0,5,0,0,6,2,9,10,8,0,10,8,0,0,0,515,0,1,0,0,0
00320  Etelä-Haaga (Helsinki),1812,3,0,20,0,0,242,252,7,120,65,1,49,96,46,57,316,437,24,77,0,0,0
00330  Munkkiniemi (Helsinki),2314,4,0,7,0,0,36,334,18,156,566,37,30,152,76,0,275,462,40,121,0,0,0
00340  Kuusisaari - Lehtisaari (Helsinki),367,2,0,1,0,0,6,14,11,10,135,9,13,38,7,0,0,91,13,11,0,6,0
00350  Munkkivuori - Niemenmäki (Helsinki),1922,0,0,11,0,5,137,488,34,101,122,12,74,133,99,0,236,374,41,55,0,0,0
00360  Pajamäki (Helsinki),70,0,0,0,0,0,7,23,7,4,2,0,0,16,0,0,6,0,2,3,0,0,0
00370  Reimarla (Helsinki),4519,0,0,1309,1,0,393,772,228,135,728,18,8,227,120,0,78,380,72,50,0,0,0
00380  Pitäjänmäen yritysalue (Helsinki),17565,0,0,3906,62,283,511,1807,72,210,4106,188,340,689,3014,803,405,686,372,111,0,0,0
00390  Konala (Helsinki),5508,0,0,254,0,0,824,1749,1080,86,282,13,49,266,557,1,30,179,63,75,0,0,0
