Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,2284673.00,60770.00,6266.00,278417.00,12049.00,11587.00,160207.00,251242.00,115120.00,70998.00,103146.00,44328.00,22695.00,140681.00,163766.00,119151.00,164586.00,416275.00,40005.00,60548.00,9235.00,497.00,33104.00
00100  Helsinki keskusta - Etu-Töölö (Helsinki),49712.00,24.00,0.00,1052.00,794.00,0.00,428.00,5532.00,1068.00,2808.00,10047.00,4341.00,1289.00,8247.00,2105.00,1995.00,2705.00,2895.00,1935.00,2395.00,0.00,52.00,0.00
00120  Punavuori - Bulevardi (Helsinki),7131.00,2.00,0.00,162.00,0.00,0.00,32.00,570.00,142.00,593.00,872.00,805.00,69.00,1317.00,328.00,491.00,289.00,468.00,162.00,806.00,0.00,23.00,0.00
00130  Kaartinkaupunki (Helsinki),11708.00,6.00,1.00,126.00,8.00,9.00,153.00,431.00,215.00,493.00,1150.00,1403.00,254.00,2781.00,374.00,2002.00,159.00,495.00,277.00,1270.00,0.00,101.00,0.00
00140  Kaivopuisto - Ullanlinna (Helsinki),1919.00,5.00,0.00,21.00,0.00,0.00,125.00,218.00,108.00,161.00,73.00,33.00,126.00,280.00,69.00,13.00,50.00,295.00,69.00,101.00,0.00,172.00,0.00
00150  Punavuori - Eira - Hernesaari (Helsinki),4176.00,6.00,0.00,585.00,0.00,0.00,104.00,296.00,64.00,182.00,528.00,73.00,59.00,1227.00,95.00,0.00,181.00,554.00,87.00,133.00,0.00,2.00,0.00
00160  Katajanokka (Helsinki),3182.00,1.00,0.00,492.00,0.00,1.00,68.00,105.00,308.00,143.00,99.00,23.00,14.00,225.00,145.00,1222.00,41.00,120.00,83.00,78.00,0.00,14.00,0.00
00170  Kruununhaka (Helsinki),10117.00,5.00,0.00,56.00,0.00,1.00,95.00,212.00,17.00,279.00,290.00,664.00,38.00,447.00,73.00,4391.00,2061.00,362.00,566.00,545.00,0.00,15.00,0.00
00180  Kamppi - Ruoholahti (Helsinki),23281.00,3.00,1.00,1634.00,541.00,65.00,251.00,1399.00,201.00,377.00,6171.00,1447.00,236.00,5625.00,441.00,2070.00,685.00,1012.00,379.00,743.00,0.00,0.00,0.00
00190  Suomenlinna (Helsinki),351.00,0.00,0.00,10.00,0.00,0.00,20.00,7.00,3.00,32.00,5.00,2.00,0.00,13.00,21.00,134.00,15.00,28.00,53.00,8.00,0.00,0.00,0.00
00200  Pohjois-Lauttasaari (Helsinki),2205.00,4.00,0.00,18.00,0.00,0.00,118.00,318.00,31.00,88.00,239.00,16.00,48.00,245.00,124.00,51.00,199.00,525.00,84.00,97.00,0.00,0.00,0.00
00210  Vattuniemi (Helsinki),4121.00,1.00,0.00,136.00,13.00,1.00,52.00,675.00,107.00,81.00,508.00,69.00,210.00,818.00,843.00,0.00,78.00,285.00,140.00,104.00,0.00,0.00,0.00
00220  Jätkäsaari (Helsinki),1593.00,0.00,0.00,8.00,0.00,0.00,38.00,633.00,314.00,87.00,40.00,3.00,2.00,54.00,13.00,73.00,52.00,163.00,54.00,59.00,0.00,0.00,0.00
00230  Helsinki postikeskus (Helsinki),3176.00,0.00,0.00,0.00,0.00,6.00,4.00,12.00,2454.00,3.00,617.00,16.00,18.00,0.00,43.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00
00240  Länsi-Pasila (Helsinki),14904.00,55.00,0.00,104.00,76.00,460.00,807.00,312.00,2017.00,261.00,3732.00,1880.00,130.00,1493.00,824.00,1881.00,80.00,424.00,134.00,234.00,0.00,0.00,0.00
00250  Taka-Töölö (Helsinki),7358.00,13.00,0.00,15.00,0.00,0.00,69.00,227.00,630.00,198.00,80.00,8.00,63.00,450.00,131.00,755.00,292.00,3449.00,639.00,318.00,0.00,21.00,0.00
00260  Keski-Töölö (Helsinki),6877.00,4.00,0.00,7.00,0.00,0.00,18.00,200.00,7.00,253.00,52.00,27.00,39.00,369.00,334.00,0.00,173.00,4547.00,664.00,183.00,0.00,0.00,0.00
00270  Pohjois-Meilahti (Helsinki),2219.00,2.00,0.00,8.00,0.00,0.00,382.00,71.00,10.00,82.00,619.00,3.00,21.00,161.00,149.00,0.00,209.00,372.00,40.00,90.00,0.00,0.00,0.00
00280  Ruskeasuo (Helsinki),4583.00,1.00,0.00,28.00,0.00,0.00,1887.00,94.00,777.00,57.00,114.00,10.00,124.00,246.00,72.00,203.00,244.00,602.00,37.00,86.00,0.00,0.00,1.00
00290  Meilahden sairaala-alue (Helsinki),12033.00,0.00,0.00,16.00,0.00,0.00,4.00,93.00,0.00,128.00,14.00,0.00,1.00,99.00,931.00,229.00,1245.00,9199.00,49.00,25.00,0.00,0.00,0.00
00300  Pikku Huopalahti (Helsinki),2745.00,0.00,0.00,24.00,0.00,0.00,26.00,77.00,57.00,29.00,22.00,2.00,246.00,1139.00,55.00,6.00,85.00,901.00,27.00,49.00,0.00,0.00,0.00
00310  Kivihaka (Helsinki),429.00,0.00,0.00,3.00,0.00,0.00,2.00,1.00,3.00,5.00,0.00,0.00,3.00,14.00,1.00,0.00,0.00,397.00,0.00,0.00,0.00,0.00,0.00
