Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,2256459,71867,5294,288991,11616,10657,146368,262265,128884,83120,88032,44234,21237,130128,156931,114062,159839,384808,43815,65449,11299,545,27018
00100  Helsinki keskusta - Etu-Töölö (Helsinki),46662,105,0,716,723,3,395,6458,1378,4593,6326,4757,753,6630,1411,2316,2722,2662,2247,2442,0,24,1
00120  Punavuori - Bulevardi (Helsinki),8515,9,1,126,6,3,62,704,251,671,707,872,121,1520,784,609,358,569,206,936,0,0,0
00130  Kaartinkaupunki (Helsinki),10927,12,3,218,0,5,43,651,579,935,713,858,293,2143,318,2099,86,512,333,1126,0,0,0
00140  Kaivopuisto - Ullanlinna (Helsinki),2282,11,0,22,0,0,102,205,169,286,268,12,80,369,94,64,45,331,97,125,1,0,1
00150  Punavuori - Eira - Hernesaari (Helsinki),5187,8,0,683,0,4,106,374,99,284,881,18,98,1413,123,0,227,603,89,163,7,7,0
00160  Katajanokka (Helsinki),4283,7,0,393,0,0,55,345,586,346,110,11,39,222,141,1734,79,97,14,104,0,0,0
00170  Kruununhaka (Helsinki),8627,4,0,37,0,1,111,237,95,462,188,642,69,368,221,2643,1909,352,490,572,0,226,0
00180  Kamppi - Ruoholahti (Helsinki),19157,6,0,980,189,52,767,1169,292,739,4234,1012,176,4117,849,1080,1074,1230,462,729,0,0,0
00190  Suomenlinna (Helsinki),445,0,0,11,0,0,20,25,14,54,0,0,0,13,21,152,15,29,67,24,0,0,0
00200  Pohjois-Lauttasaari (Helsinki),2259,11,0,20,0,0,127,313,121,102,62,24,53,331,121,40,158,495,151,130,0,0,0
00210  Vattuniemi (Helsinki),4604,0,0,206,7,4,127,986,70,106,821,72,79,1126,663,0,20,149,56,112,0,0,0
00220  Jätkäsaari (Helsinki),849,0,0,6,0,0,69,25,509,53,9,0,0,19,8,85,17,31,14,4,0,0,0
00230  Helsinki postikeskus (Helsinki),2335,0,0,44,0,0,5,10,1981,2,219,0,24,0,49,0,0,1,0,0,0,0,0
00240  Länsi-Pasila (Helsinki),11821,32,0,69,75,1,350,374,1341,414,4101,686,165,892,267,1800,67,327,572,288,0,0,0
00250  Taka-Töölö (Helsinki),7721,23,0,16,2,0,118,304,117,305,72,98,65,430,418,583,502,3688,617,362,1,0,0
00260  Keski-Töölö (Helsinki),6964,11,0,7,0,0,7,183,109,529,90,9,33,1089,584,0,443,3106,521,242,0,0,1
