Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
Ahvenanmaa,1.0,0.031387163561076604,0.0008281573498964803,0.05614906832298137,0.008530020703933747,0.00505175983436853,0.06997929606625258,0.08455486542443064,0.21184265010351966,0.04919254658385093,0.0439751552795031,0.044057971014492756,0.00968944099378882,0.030890269151138718,0.024927536231884057,0.059130434782608696,0.04165631469979296,0.15718426501035196,0.036273291925465835,0.03320910973084886,0.0,0.0,0.0
Etelä-Karjala,1.0,0.026030904680621688,0.002785014823465996,0.16557362321444613,0.004626718174467703,0.004132602641272123,0.0757119755637409,0.12290000898391878,0.06046177342556823,0.04557092803881053,0.021853382445422693,0.01051118497888779,0.009163597161081664,0.0434597071242476,0.05053454316772976,0.06050669301949511,0.07719432216332764,0.17318749438505077,0.01718174467702812,0.027962447219477136,0.0,0.0,2.245979696343545e-05
Etelä-Pohjanmaa,1.0,0.08004926108374384,0.003707544723878662,0.18689395903551984,0.0037464350531501165,0.004744620171117449,0.0694062743064558,0.11696914700544464,0.05665024630541872,0.02851957479906663,0.010746694322011927,0.012911589318122894,0.007129893699766658,0.03248638838475499,0.02543427534353124,0.0393181228934405,0.0689784806844698,0.21055224267565464,0.012094892403422349,0.028610318900700028,0.0001944516463572725,0.0,2.5926886180969666e-05
Etelä-Savo,1.0,0.06303024714127628,0.0010604942825525635,0.16875691626706013,0.004687692118529448,0.006147792942333702,0.0666267060125415,0.10500430345505964,0.04904401819746711,0.03713266937169556,0.01246465019058158,0.009974794048936432,0.009006516660518873,0.03647178163039469,0.029048321652526743,0.05028894626828968,0.07045370711914423,0.22811385712529203,0.01661441042665683,0.030308619205705153,0.0029048321652526744,0.0,4.610844706750277e-05
Kainuu,1.0,0.054699882147356445,0.032307879871581256,0.09009631405697566,0.004632828057056935,0.0049985776405087985,0.0614865688625188,0.10273499410736782,0.04982322103466493,0.040313731864916484,0.02023814361766977,0.010403543707075222,0.00800585199333523,0.042955256634291054,0.05632543585158695,0.0820091843784289,0.06839517210549843,0.21554842118096476,0.021944975007111796,0.03031657658389889,0.0,0.0,0.0
Kanta-Häme,1.0,0.0484923759942919,0.0027747681086652044,0.18592267646203853,0.00266906265690653,0.010517692449988108,0.07555297164451256,0.12178589360746281,0.051293570465896776,0.03494886498771174,0.015129092782960282,0.014428794165059064,0.007069052086361354,0.039031738061890545,0.03815966808488148,0.05861367300018498,0.0705583890489152,0.17623741444465,0.01573689913057266,0.030614941465606088,0.0002642636293966861,0.0,0.0
Keski-Suomi,1.0,0.030834969396004157,0.0019107812155508194,0.14585979905300844,0.004241514346607313,0.006351772722023329,0.07397452991632458,0.10906151245682369,0.044892859767556616,0.03980094279205031,0.03938099087654463,0.009532908481978814,0.01046730149397894,0.052997931736816134,0.03833111108778045,0.05164358680931033,0.0956965427458556,0.19276842801499228,0.020871610200632027,0.02899767976566683,0.0011443689697529633,0.0,3.149639366292559e-05
Kymenlaakso,1.0,0.026821853848608523,0.0016291295073982634,0.14747820829344485,0.004215582539762517,0.007675383349288726,0.0727229975982936,0.10644765791639374,0.08392536235535178,0.038511277942930085,0.012814699114895618,0.008783863220301977,0.007725768797971146,0.041685561209922575,0.049982365092961153,0.079558623469542,0.056868376412891955,0.20642918325187687,0.01790362943182009,0.028249441561277105,0.0001679514956080684,0.0,0.0
Lapland,1.0,0.033496940336562975,0.02390362060173381,0.10587710351861296,0.008541560428352881,0.0049400815910249874,0.0702129015808261,0.10637111167771546,0.059217236104028556,0.05553607853136155,0.01380035696073432,0.008015680775114737,0.011378123406425293,0.04130545639979602,0.049209586945436,0.06608554309026007,0.07685810810810811,0.20851925038245792,0.020668663946965832,0.027903493115757266,0.0005577511473737888,0.0,0.0
North Ostrobothnia,1.0,0.02336784704681933,0.0024588929963367512,0.1363431075723868,0.004482879748423465,0.004783968686750414,0.08494889851630062,0.10574076242410049,0.05075857685295151,0.034959771172406874,0.039108107656022614,0.014686449325058963,0.008664670558519981,0.06276031647792851,0.042938628038071025,0.04743823494973488,0.0884532392151615,0.20408811869595037,0.015982804476188883,0.027624910091497583,8.363581620193032e-06,0.0,8.363581620193032e-06
Pirkanmaa,1.0,0.019815426246226234,0.001140964670483345,0.17212916123951172,0.004079201122790012,0.004265996223709852,0.07257242096547825,0.11682771433475701,0.04558810165692303,0.03759125193105746,0.05025293066367795,0.015135451690748088,0.00937509465967952,0.06162723775482386,0.04014075263280122,0.03789416290552207,0.07709084300124193,0.1865022869778572,0.022602207211300598,0.024904330617231595,5.0485162410767474e-05,0.0,1.0097032482153496e-05
Pohjanmaa,1.0,0.04817955533054888,0.0012023794456397924,0.2236636712652407,0.006085727545036493,0.005853689406404253,0.06462262160907901,0.09701303632451588,0.04421381259756149,0.030745053368771886,0.024037041724676203,0.014238703961523857,0.006180652238113319,0.04253680968653757,0.03277011348774417,0.04372864194405771,0.076614774501118,0.19633590684723454,0.01438636459519892,0.026726574695186262,0.00039024596042695016,4.218875247858921e-05,4.218875247858921e-05
Pohjois-Karjala,1.0,0.04234471363522834,0.004649464927280063,0.15925378009183655,0.003669619012853273,0.005475609521796768,0.07047205517877385,0.10146208380564468,0.046898115237564604,0.037272570078195545,0.023170473976445272,0.011277834348402467,0.008607273914964745,0.03684989144844281,0.038117927337701016,0.060327768064708256,0.08628407846452381,0.2091490710676478,0.01952006762858076,0.03083632730696075,0.00024976464485388766,0.0005379546196852966,3.8425329977521184e-05
Pohjois-Pohjanmaa,1.0,0.08843178621659634,0.017756680731364275,0.1838607594936709,0.002953586497890295,0.0073136427566807315,0.09609704641350211,0.1020042194092827,0.04511251758087201,0.027777777777777776,0.007524613220815752,0.009985935302390999,0.005555555555555556,0.0310126582278481,0.028023909985935302,0.045956399437412095,0.08083684950773558,0.1837904360056259,0.008157524613220815,0.027250351617440226,3.516174402250352e-05,0.0,0.0
