Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
Ahvenanmaa,1.0,0.03143534994068802,0.0006778512116590408,0.058379935604134896,0.00838840874428063,0.006693780715133028,0.07015760040671072,0.0847314014573801,0.21479410269445856,0.047110659210303336,0.044738179969496694,0.04389086595492289,0.00898152855448229,0.03016437891882732,0.026690391459074734,0.05643111337061515,0.042111506524317915,0.15861718352821555,0.028808676495509236,0.035332994407727504,0.0,0.0,0.0
Etelä-Karjala,1.0,0.02651971366890126,0.0025224406317463925,0.16832178161572547,0.004863083740484036,0.004340415861833882,0.07571866833314396,0.11880468128621748,0.05892512214521077,0.045858425178956934,0.022611066924213157,0.011771389614816498,0.009862515623224634,0.04226792409953414,0.050835132371321444,0.06369730712419043,0.07751391887285536,0.16952619020565846,0.016657198045676627,0.028383138279740937,0.0,0.0,2.2724690376093625e-05
Etelä-Pohjanmaa,1.0,0.08039903789282757,0.0039036315602697055,0.18404899911938277,0.004008779885125455,0.004902540646399327,0.06759722934164004,0.12060512860954484,0.058225884888871364,0.02764086589645519,0.010909138703784025,0.013669282231247453,0.007163229630797944,0.0326748419489242,0.025524755858733227,0.038484286897204366,0.06943732502661568,0.20881142962291183,0.011434880328062773,0.02941524387839596,0.00017086602789059317,0.0,3.943062182090611e-05
Etelä-Savo,1.0,0.06162404720924514,0.00096815834767642,0.1677833784116056,0.00508667322350627,0.0057935824932382595,0.06405212687484632,0.10984755347922301,0.04802372756331448,0.03731251536759282,0.013953774280796655,0.01089562330956479,0.009128350135234817,0.03619068109171379,0.029382837472338334,0.05212687484632407,0.07201253995574133,0.22330649127120727,0.016089869682812886,0.03101180231128596,0.0028276370789279567,0.0,3.073518564052127e-05
Kainuu,1.0,0.056670840570343745,0.03178898897281577,0.08805590338086197,0.005372217958557176,0.004402795169043099,0.059861857252494245,0.10522276527850709,0.04895585087046088,0.03954437128892838,0.017328432362564122,0.011713858706628428,0.008118915862180394,0.042977743668457406,0.0542876762127883,0.0827644706547643,0.07234317566748798,0.2131922284606374,0.02047905642848487,0.03449529426020923,0.0,0.0,0.0
Kanta-Häme,1.0,0.04872092716280789,0.0027719844768869296,0.18217217983579292,0.0027323846986456878,0.01106153805538689,0.07349718841574487,0.11992132844056073,0.05344650069959608,0.03471580559148869,0.01594551070514005,0.014467118984133689,0.007180759787745189,0.0390849811241057,0.03788378785078803,0.060614060561260855,0.06891681406584123,0.17953219461971012,0.015483513292325562,0.03137622429314396,0.00019799889120620924,0.0,1.319992608041395e-05
Keski-Suomi,1.0,0.030916901453715707,0.0017568855988944476,0.14449312779200188,0.0044243521484354075,0.006106248727864848,0.07063965633603651,0.11233355115858035,0.045014837113137,0.03882288664874072,0.03734453169357344,0.009855699701115194,0.010787706085894565,0.052578015362036275,0.03875861034634214,0.05239589917190697,0.09639302816373317,0.19517499223328014,0.019947079177691836,0.029942044200670617,0.0011783988773072514,0.0,4.285086826571823e-05
Kymenlaakso,1.0,0.028053253634017117,0.0017321016166281756,0.14310216003260426,0.004517049313951908,0.007556717837250373,0.07103314767015351,0.10969976905311778,0.08269936149979622,0.039379839695693516,0.014111533759000136,0.009764298329031381,0.007845401440021736,0.04347235429968754,0.049025268305936696,0.077842684417878,0.05985939410406195,0.20122945252003804,0.017422904496671648,0.031092922157315583,0.0,0.0,0.0
Lapland,1.0,0.03552953767817471,0.022637715471808262,0.10444808406441046,0.008691844908946438,0.005237809525353917,0.06805909157247798,0.10848590007621581,0.058864546678126066,0.05494024356625099,0.014108031848476494,0.008805357808876708,0.011059399678920655,0.041561937503040526,0.04738352765660726,0.06687531418749088,0.07655634293868682,0.2093664358571035,0.021518802601067023,0.027762012097231906,0.0006486451424586894,0.0,0.0
North Ostrobothnia,1.0,0.023949630290449313,0.0020844413182590196,0.1390142222374719,0.004554890288047488,0.004777916931153391,0.07686699034123076,0.10875980030537494,0.051278972018734235,0.03402871896927379,0.03835200466640361,0.014908473296848463,0.00904115699360085,0.05983976393487622,0.04226354886856868,0.05055842440254593,0.08983684743262021,0.20519308960524285,0.01621232136423682,0.027938376022920278,1.7155895623531028e-05,0.0,1.7155895623531028e-05
