Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,1.0,0.026598992503522385,0.00274262443684501,0.12186295369184123,0.005273840063764049,0.005071622941226163,0.0701225076849072,0.10996847251225887,0.050387954862687136,0.03107578196091957,0.04514694225388053,0.019402338978050687,0.009933587870124083,0.061575989211585205,0.07168027984748802,0.05215232114180016,0.0720391933550228,0.18220331749882807,0.017510164474303324,0.026501823236848337,0.00404215395376056,0.00021753660151802907,0.014489600918818579
00100,1.0,0.00048278081750885096,0.0,0.021161892500804635,0.015971998712584486,0.0,0.008609591245574508,0.11128097843579016,0.021483746379143867,0.056485355648535567,0.20210411972964273,0.08732298036691342,0.025929353073704538,0.1658955584164789,0.04234390086900547,0.040131155455423236,0.054413421306726745,0.05823543611200515,0.038924203411651113,0.04817750241390409,0.0,0.0010460251046025104,0.0
00120,1.0,0.0002804655728509325,0.0,0.022717711400925537,0.0,0.0,0.00448744916561492,0.07993268826251577,0.019913055672416212,0.0831580423503015,0.1222829897630066,0.11288739307250036,0.009676062263357174,0.1846865797223391,0.045996353947552936,0.06885429813490394,0.040527275276959755,0.06562894404711822,0.022717711400925537,0.11302762585892581,0.0,0.003225354087785724,0.0
00130,1.0,0.0005124701059104886,8.541168431841476e-05,0.01076187222412026,0.0006832934745473181,0.0007687051588657328,0.013067987700717458,0.03681243594123676,0.018363512128459172,0.04210796036897848,0.09822343696617697,0.11983259309873591,0.02169456781687735,0.23752989408951145,0.03194396993508712,0.17099419200546634,0.013580457806627947,0.0422787837376153,0.02365903655620089,0.10847283908438675,0.0,0.00862658011615989,0.0
00140,1.0,0.0026055237102657635,0.0,0.010943199583116207,0.0,0.0,0.06513809275664409,0.11360083376758728,0.05627931214174049,0.08389786347055758,0.03804064616988015,0.017196456487754037,0.06565919749869724,0.14590932777488275,0.03595622720166754,0.006774361646690985,0.026055237102657634,0.15372589890568003,0.03595622720166754,0.05263157894736842,0.0,0.08963001563314227,0.0
00150,1.0,0.0014367816091954023,0.0,0.1400862068965517,0.0,0.0,0.02490421455938697,0.07088122605363985,0.01532567049808429,0.0435823754789272,0.12643678160919541,0.017480842911877393,0.014128352490421455,0.2938218390804598,0.02274904214559387,0.0,0.043342911877394634,0.13266283524904215,0.020833333333333332,0.031848659003831416,0.0,0.0004789272030651341,0.0
00160,1.0,0.00031426775612822125,0.0,0.15461973601508486,0.0,0.00031426775612822125,0.021370207416719043,0.03299811439346323,0.09679446888749214,0.04494028912633564,0.031112507856693904,0.007228158390949088,0.0043997485857950975,0.07071024512884978,0.04556882463859208,0.38403519798868635,0.012884978001257071,0.03771213073538655,0.026084223758642364,0.02451288497800126,0.0,0.0043997485857950975,0.0
00170,1.0,0.0004942176534545814,0.0,0.0055352377186913115,0.0,9.884353069091628e-05,0.009390135415637046,0.02095482850647425,0.0016803400217455767,0.027577345062765643,0.02866462390036572,0.06563210437876842,0.0037560541662548185,0.044183058218839576,0.007215577740436889,0.4340219432638134,0.20371651675397845,0.03578135811011169,0.055945438371058615,0.05386972422654937,0.0,0.0014826529603637441,0.0
00180,1.0,0.00012886044413899745,4.2953481379665825e-05,0.07018598857437396,0.02323783342639921,0.0027919762896782786,0.01078132382629612,0.060091920450152485,0.00863364975731283,0.016193462480134015,0.2650659335939178,0.062153687556376444,0.010137021605601135,0.24161333276062025,0.018942485288432627,0.08891370645590825,0.029423134745071088,0.04346892315622181,0.016279369442893345,0.03191443666509171,0.0,0.0,0.0
00190,1.0,0.0,0.0,0.02849002849002849,0.0,0.0,0.05698005698005698,0.019943019943019943,0.008547008547008548,0.09116809116809117,0.014245014245014245,0.005698005698005698,0.0,0.037037037037037035,0.05982905982905983,0.3817663817663818,0.042735042735042736,0.07977207977207977,0.150997150997151,0.022792022792022793,0.0,0.0,0.0
00200,1.0,0.0018140589569160999,0.0,0.00816326530612245,0.0,0.0,0.053514739229024944,0.14421768707482993,0.014058956916099773,0.039909297052154194,0.10839002267573696,0.0072562358276643995,0.021768707482993196,0.1111111111111111,0.05623582766439909,0.02312925170068027,0.09024943310657596,0.23809523809523808,0.0380952380952381,0.04399092970521542,0.0,0.0,0.0
00210,1.0,0.0002426595486532395,0.0,0.033001698616840575,0.0031545741324921135,0.0002426595486532395,0.012618296529968454,0.16379519534093667,0.025964571705896628,0.0196554234409124,0.12327105071584567,0.016743508857073527,0.050958505217180296,0.19849551079834993,0.2045619995146809,0.0,0.01892744479495268,0.06915797136617326,0.03397233681145353,0.025236593059936908,0.0,0.0,0.0
00220,1.0,0.0,0.0,0.005021971123666039,0.0,0.0,0.023854362837413684,0.3973634651600753,0.19711236660389203,0.054613935969868174,0.025109855618330193,0.0018832391713747645,0.0012554927809165098,0.03389830508474576,0.008160703075957313,0.045825486503452605,0.032642812303829254,0.10232266164469554,0.03389830508474576,0.037037037037037035,0.0,0.0,0.0
00230,1.0,0.0,0.0,0.0,0.0,0.001889168765743073,0.0012594458438287153,0.003778337531486146,0.7726700251889169,0.0009445843828715365,0.19426952141057935,0.005037783375314861,0.005667506297229219,0.0,0.01353904282115869,0.0,0.0,0.00031486146095717883,0.0,0.0006297229219143577,0.0,0.0,0.0
00240,1.0,0.0036902844873859366,0.0,0.006977992485238862,0.005099302200751476,0.030864197530864196,0.054146537842190014,0.020933977455716585,0.1353327965646806,0.017512077294685992,0.250402576489533,0.1261406333870102,0.008722490606548578,0.10017444981213097,0.05528717122920022,0.12620772946859904,0.005367686527106817,0.02844873859366613,0.008990874932903918,0.01570048309178744,0.0,0.0,0.0
00250,1.0,0.0017667844522968198,0.0,0.002038597444957869,0.0,0.0,0.009377548246806198,0.030850774667029086,0.0856210926882305,0.02690948627344387,0.010872519706441968,0.0010872519706441968,0.008562109268823049,0.06115792334873607,0.017803751019298722,0.10260940472954608,0.03968469692851318,0.46874150584397933,0.08684425115520522,0.043218265833106825,0.0,0.0028540364229410167,0.0
00260,1.0,0.0005816489748436818,0.0,0.0010178857059764432,0.0,0.0,0.0026174203867965684,0.029082448742184092,0.0010178857059764432,0.03678929765886288,0.007561436672967864,0.003926130580194852,0.005671077504725898,0.05365711792932965,0.04856768939944743,0.0,0.02515631816198924,0.6611894721535553,0.09655372982405118,0.026610440599098444,0.0,0.0,0.0
