Postal code area,"Workplaces, total (TP)","A Agriculture, forestry and fishing (TP)",B Mining and quarrying (TP),C Manufacturing (TP),"D Electricity, gas, steam and air conditioning supply (TP)","E Water supply; sewerage, waste management and remediation activities (TP)",F Construction (TP),G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),H Transportation and storage (TP),I Accommodation and food service activities (TP),J Information and communication (TP),K Financial and insurance activities (TP),L Real estate activities (TP),"M Professional, scientific and technical activities (TP)",N Administrative and support service activities (TP),O Public administration and defence; compulsory social security (TP),P Education (TP),Q Human health and social work activities (TP),"R Arts, entertainment and recreation (TP)",S Other service activities (TP),T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),U Activities of extraterritorial organisations and bodies (TP),X Industry unknown (TP)
WHOLE COUNTRY,1.0,0.028599536887869297,0.002516614899494357,0.1281003380976316,0.005046547494769582,0.0048081177799830736,0.07014473328092176,0.1123540960506588,0.05546132927788017,0.03797304670215188,0.04068684941982103,0.01927414261963372,0.009382531479166399,0.058855193686552995,0.0746022949397052,0.04943227951695429,0.06789060586923741,0.16936500367310642,0.019837781873327232,0.027977042010886143,0.004882868717591817,0.00014262822578219983,0.012666417496874638
00100,1.0,0.0017109660989972943,0.0,0.014682476523953525,0.009967372274391215,1.9894954639503423e-05,0.012394556740410631,0.13259987267229031,0.030618335190195765,0.09724653827789273,0.15904026738819035,0.08158920897660353,0.020253063823014485,0.1523754575839567,0.03774072895113799,0.047250517268820624,0.04973738659875856,0.05787442304631545,0.04160035015120166,0.05307973897819513,0.0,0.00019894954639503422,1.9894954639503423e-05
00120,1.0,0.0005076142131979696,0.0,0.018781725888324875,0.0002538071065989848,0.0001269035532994924,0.00850253807106599,0.08591370558375634,0.03286802030456853,0.1182741116751269,0.07208121827411168,0.12791878172588833,0.013578680203045685,0.1814720812182741,0.028934010152284265,0.051269035532994923,0.04416243654822335,0.075,0.023857868020304568,0.11649746192893401,0.0,0.0,0.0
00130,1.0,0.0011941943781003123,0.0010104721660848797,0.020301304427705308,0.0,0.0006430277420540144,0.0230571376079368,0.052177108212382875,0.011207054932941392,0.07174352379202646,0.07238655153408047,0.08552268969318391,0.02177108212382877,0.22652948741502849,0.017821054565496968,0.19428623920632004,0.009186110600771633,0.0545654969685835,0.031140914936615836,0.10426235531875803,0.0,0.0011941943781003123,0.0
00140,1.0,0.0037257824143070045,0.0,0.0067064083457526085,0.0,0.0,0.029433681073025336,0.08196721311475409,0.22727272727272727,0.10767511177347243,0.08196721311475409,0.007078986587183309,0.042473919523099854,0.11624441132637854,0.03278688524590164,0.02459016393442623,0.023099850968703428,0.13487332339791355,0.041728763040238454,0.037630402384500744,0.0,0.0007451564828614009,0.0
00150,1.0,0.0010578279266572638,0.0,0.13222849083215796,0.0,0.0,0.0232722143864598,0.06734837799717913,0.01040197461212976,0.06399858956276445,0.15162200282087446,0.0038787023977433005,0.027150916784203102,0.3164668547249647,0.03014809590973202,0.0,0.04531029619181946,0.07633991537376587,0.014809590973201692,0.03296897038081805,0.0015867418899858955,0.0014104372355430183,0.0
00160,1.0,0.0016764459346186086,0.0,0.11902766135792121,0.0,0.0,0.002794076557697681,0.03799944118468846,0.17127689298686785,0.08382229673093043,0.03380832634814194,0.0036322995250069852,0.003352891869237217,0.0726459905001397,0.03660240290583962,0.34450963956412406,0.0131321598211791,0.038558256496227995,0.011455713886560491,0.025705504330818665,0.0,0.0,0.0
00170,1.0,0.00076103500761035,0.0,0.0057621222004783645,0.0,0.0,0.012285279408567079,0.02598390954555338,0.004348771472059143,0.057729941291585124,0.02533159382474451,0.09023700804522722,0.007175472928897586,0.049249836921069795,0.009023700804522722,0.3558382257012394,0.19819525983909544,0.04218308327897369,0.051641661230702324,0.0629484670580561,0.0,0.001304631441617743,0.0
00180,1.0,0.00024196670538133953,4.8393341076267905e-05,0.057926829268292686,0.023422377080913666,0.002516453735965931,0.040360046457607435,0.0494579945799458,0.01267905536198219,0.03774680603948897,0.21225319396051104,0.058991482771970576,0.0067266744096012385,0.23078784359272164,0.023664343786295006,0.059233449477351915,0.052458381726674407,0.0741869918699187,0.02424506387921022,0.03305265195509098,0.0,0.0,0.0
00190,1.0,0.0,0.0,0.07623318385650224,0.0,0.0,0.04035874439461883,0.02242152466367713,0.03811659192825112,0.06502242152466367,0.002242152466367713,0.002242152466367713,0.0,0.03139013452914798,0.05605381165919283,0.30269058295964124,0.0515695067264574,0.06726457399103139,0.1905829596412556,0.053811659192825115,0.0,0.0,0.0
00200,1.0,0.0021177467174925877,0.0,0.012706480304955527,0.0,0.0,0.06480304955527319,0.13638288860652267,0.04404913172384583,0.0698856416772554,0.05760271071579839,0.005506141465480729,0.02075391783142736,0.11054637865311309,0.044472681067344345,0.0169419737399407,0.06607369758576874,0.2384582803896654,0.04489623041084286,0.06480304955527319,0.0,0.0,0.0
00210,1.0,0.00021258503401360543,0.0,0.0389030612244898,0.0040391156462585035,0.0,0.027848639455782313,0.20280612244897958,0.021683673469387755,0.02572278911564626,0.14732142857142858,0.014243197278911565,0.027848639455782313,0.2950680272108844,0.11522108843537415,0.0,0.00467687074829932,0.02614795918367347,0.01679421768707483,0.031462585034013606,0.0,0.0,0.0
00220,1.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.059082892416225746,0.059082892416225746,0.47001763668430335,0.16049382716049382,0.010582010582010581,0.001763668430335097,0.0,0.03791887125220458,0.008818342151675485,0.06084656084656084,0.021164021164021163,0.04144620811287478,0.02204585537918871,0.03439153439153439,0.0,0.0,0.0
00230,1.0,0.0,0.0,0.010420686993438826,0.0,0.0,0.002701659590891548,0.0034735623311462757,0.7564646854496333,0.002701659590891548,0.1979930528753377,0.0,0.007719027402547279,0.0,0.01775376302585874,0.0,0.0,0.0007719027402547279,0.0,0.0,0.0,0.0,0.0
